 

stn;time;rre150z0
CHU;202007010000;0.0
CHU;202007010010;0.0
CHU;202007010020;0.0
CHU;202007010030;0.0
CHU;202007010040;0.0
CHU;202007010050;0.0
CHU;202007010100;0.0
CHU;202007010110;0.0
CHU;202007010120;0.0
CHU;202007010130;0.0
CHU;202007010140;0.0
CHU;202007010150;0.0
CHU;202007010200;0.0
CHU;202007010210;0.0
CHU;202007010220;0.0
CHU;202007010230;0.0
CHU;202007010240;0.0
CHU;202007010250;0.0
CHU;202007010300;0.0
CHU;202007010310;0.0
CHU;202007010320;0.0
CHU;202007010330;0.0
CHU;202007010340;0.0
CHU;202007010350;0.0
CHU;202007010400;0.0
CHU;202007010410;0.0
CHU;202007010420;0.0
CHU;202007010430;0.0
CHU;202007010440;0.0
CHU;202007010450;0.0
CHU;202007010500;0.0
CHU;202007010510;0.0
CHU;202007010520;0.0
CHU;202007010530;0.0
CHU;202007010540;0.0
CHU;202007010550;0.0
CHU;202007010600;0.0
CHU;202007010610;0.0
CHU;202007010620;0.0
CHU;202007010630;0.0
CHU;202007010640;0.0
CHU;202007010650;0.0
CHU;202007010700;0.0
CHU;202007010710;0.0
CHU;202007010720;0.0
CHU;202007010730;0.0
CHU;202007010740;0.0
CHU;202007010750;0.0
CHU;202007010800;0.0
CHU;202007010810;0.0
CHU;202007010820;0.0
CHU;202007010830;0.0
CHU;202007010840;0.0
CHU;202007010850;0.0
CHU;202007010900;0.0
CHU;202007010910;0.0
CHU;202007010920;0.0
CHU;202007010930;0.0
CHU;202007010940;0.0
CHU;202007010950;0.0
CHU;202007011000;0.0
CHU;202007011010;0.0
CHU;202007011020;0.0
CHU;202007011030;0.0
CHU;202007011040;0.0
CHU;202007011050;0.0
CHU;202007011100;0.0
CHU;202007011110;0.0
CHU;202007011120;0.0
CHU;202007011130;0.2
CHU;202007011140;0.2
CHU;202007011150;0.0
CHU;202007011200;0.1
CHU;202007011210;0.0
CHU;202007011220;0.0
CHU;202007011230;0.0
CHU;202007011240;0.0
CHU;202007011250;0.0
CHU;202007011300;0.0
CHU;202007011310;0.0
CHU;202007011320;0.0
CHU;202007011330;0.0
CHU;202007011340;0.0
CHU;202007011350;0.0
CHU;202007011400;0.0
CHU;202007011410;0.0
CHU;202007011420;0.0
CHU;202007011430;0.0
CHU;202007011440;0.0
CHU;202007011450;0.0
CHU;202007011500;0.0
CHU;202007011510;0.0
CHU;202007011520;0.0
CHU;202007011530;0.0
CHU;202007011540;0.0
CHU;202007011550;0.0
CHU;202007011600;0.0
CHU;202007011610;0.2
CHU;202007011620;0.7
CHU;202007011630;1.0
CHU;202007011640;0.6
CHU;202007011650;0.4
CHU;202007011700;0.3
CHU;202007011710;0.2
CHU;202007011720;0.2
CHU;202007011730;0.2
CHU;202007011740;0.1
CHU;202007011750;0.1
CHU;202007011800;0.1
CHU;202007011810;0.1
CHU;202007011820;0.1
CHU;202007011830;0.0
CHU;202007011840;0.0
CHU;202007011850;0.0
CHU;202007011900;0.0
CHU;202007011910;0.0
CHU;202007011920;0.0
CHU;202007011930;0.0
CHU;202007011940;0.0
CHU;202007011950;0.0
CHU;202007012000;0.0
CHU;202007012010;0.0
CHU;202007012020;0.0
CHU;202007012030;0.0
CHU;202007012040;0.0
CHU;202007012050;0.0
CHU;202007012100;0.0
CHU;202007012110;0.0
CHU;202007012120;0.0
CHU;202007012130;0.1
CHU;202007012140;0.1
CHU;202007012150;0.1
CHU;202007012200;0.1
CHU;202007012210;0.1
CHU;202007012220;0.2
CHU;202007012230;0.2
CHU;202007012240;0.1
CHU;202007012250;0.1
CHU;202007012300;0.0
CHU;202007012310;0.0
CHU;202007012320;0.0
CHU;202007012330;0.0
CHU;202007012340;0.0
CHU;202007012350;0.0
CHU;202007020000;0.0
CHU;202007020010;0.0
CHU;202007020020;0.0
CHU;202007020030;0.0
CHU;202007020040;0.0
CHU;202007020050;0.0
CHU;202007020100;0.0
CHU;202007020110;0.0
CHU;202007020120;0.0
CHU;202007020130;0.0
CHU;202007020140;0.0
CHU;202007020150;0.0
CHU;202007020200;0.0
CHU;202007020210;0.0
CHU;202007020220;0.0
CHU;202007020230;0.0
CHU;202007020240;0.0
CHU;202007020250;0.0
CHU;202007020300;0.0
CHU;202007020310;0.0
CHU;202007020320;0.0
CHU;202007020330;0.0
CHU;202007020340;0.0
CHU;202007020350;0.0
CHU;202007020400;0.0
CHU;202007020410;0.0
CHU;202007020420;0.0
CHU;202007020430;0.0
CHU;202007020440;0.0
CHU;202007020450;0.0
CHU;202007020500;0.0
CHU;202007020510;0.0
CHU;202007020520;0.0
CHU;202007020530;0.0
CHU;202007020540;0.0
CHU;202007020550;0.0
CHU;202007020600;0.0
CHU;202007020610;0.0
CHU;202007020620;0.0
CHU;202007020630;0.0
CHU;202007020640;0.0
CHU;202007020650;0.0
CHU;202007020700;0.0
CHU;202007020710;0.0
CHU;202007020720;0.0
CHU;202007020730;0.0
CHU;202007020740;0.0
