datetime,ets150d0,erefaod0
2010-01-01 00:00:00+00:00,0.08,0.4
2010-01-02 00:00:00+00:00,0.22,1.1
2010-01-03 00:00:00+00:00,0.49,0.6
2010-01-04 00:00:00+00:00,0.11,0.7
2010-01-05 00:00:00+00:00,0.22,0.3
2010-01-06 00:00:00+00:00,0.06,0.3
2010-01-07 00:00:00+00:00,0.14,0.3
2010-01-08 00:00:00+00:00,0.04,0.3
2010-01-09 00:00:00+00:00,0.04,0.4
2010-01-10 00:00:00+00:00,0.05,0.4
2010-01-11 00:00:00+00:00,0.08,0.3
2010-01-12 00:00:00+00:00,0.23,0.6
2010-01-13 00:00:00+00:00,0.07,0.9
2010-01-14 00:00:00+00:00,0.27,1.1
2010-01-15 00:00:00+00:00,0.18,0.4
2010-01-16 00:00:00+00:00,0.3,1.3
2010-01-17 00:00:00+00:00,0.12,0.8
2010-01-18 00:00:00+00:00,0.14,0.6
2010-01-19 00:00:00+00:00,0.34,0.9
2010-01-20 00:00:00+00:00,0.23,0.7
2010-01-21 00:00:00+00:00,0.03,0.4
2010-01-22 00:00:00+00:00,0.24,0.4
2010-01-23 00:00:00+00:00,0.33,0.7
2010-01-24 00:00:00+00:00,0.23,0.5
2010-01-25 00:00:00+00:00,0.14,0.5
2010-01-26 00:00:00+00:00,0.04,0.5
2010-01-27 00:00:00+00:00,0.15,0.4
2010-01-28 00:00:00+00:00,0.03,0.4
2010-01-29 00:00:00+00:00,0.11,0.7
2010-01-30 00:00:00+00:00,0.07,0.6
2010-01-31 00:00:00+00:00,0.09,0.3
2010-02-01 00:00:00+00:00,0.16,0.4
2010-02-02 00:00:00+00:00,0.24,0.6
2010-02-03 00:00:00+00:00,0.18,0.8
2010-02-04 00:00:00+00:00,0.3,2.1
2010-02-05 00:00:00+00:00,0.08,1.6
2010-02-06 00:00:00+00:00,0.04,0.6
2010-02-07 00:00:00+00:00,0.07,0.7
2010-02-08 00:00:00+00:00,0.44,1.0
2010-02-09 00:00:00+00:00,0.36,1.1
2010-02-10 00:00:00+00:00,0.06,0.5
2010-02-11 00:00:00+00:00,0.1,0.6
2010-02-12 00:00:00+00:00,0.28,0.5
2010-02-13 00:00:00+00:00,0.51,0.7
2010-02-14 00:00:00+00:00,0.38,0.6
2010-02-15 00:00:00+00:00,0.5,0.8
2010-02-16 00:00:00+00:00,0.59,2.1
2010-02-17 00:00:00+00:00,0.43,2.7
2010-02-18 00:00:00+00:00,0.54,1.3
2010-02-19 00:00:00+00:00,0.1,1.2
2010-02-20 00:00:00+00:00,0.52,1.4
2010-02-21 00:00:00+00:00,0.96,2.1
2010-02-22 00:00:00+00:00,0.72,2.8
