station_code,measure_date,hyear,HS,HN_1D,HNW_1D
5TH0,1954-10-01 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-02 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-03 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-04 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-05 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-06 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-07 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-08 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-09 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-10 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-11 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-12 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-13 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-14 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-15 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-16 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-17 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-18 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-19 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-20 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-21 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-22 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-23 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-24 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-25 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-26 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-27 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-28 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-29 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-30 06:00:00+00:00,1955,0.0,,
5TH0,1954-10-31 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-01 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-02 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-03 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-04 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-05 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-06 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-07 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-08 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-09 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-10 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-11 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-12 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-13 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-14 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-15 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-16 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-17 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-18 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-19 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-20 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-21 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-22 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-23 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-24 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-25 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-26 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-27 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-28 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-29 06:00:00+00:00,1955,0.0,,
5TH0,1954-11-30 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-01 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-02 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-03 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-04 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-05 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-06 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-07 06:00:00+00:00,1955,0.0,,
5TH0,1954-12-08 06:00:00+00:00,1955,5.0,,
5TH0,1954-12-09 06:00:00+00:00,1955,3.0,,
5TH0,1954-12-10 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-11 06:00:00+00:00,1955,30.0,,
5TH0,1954-12-12 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-13 06:00:00+00:00,1955,22.0,,
5TH0,1954-12-14 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-15 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-16 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-17 06:00:00+00:00,1955,22.0,,
5TH0,1954-12-18 06:00:00+00:00,1955,22.0,,
5TH0,1954-12-19 06:00:00+00:00,1955,20.0,,
5TH0,1954-12-20 06:00:00+00:00,1955,20.0,,
5TH0,1954-12-21 06:00:00+00:00,1955,20.0,,
5TH0,1954-12-22 06:00:00+00:00,1955,25.0,,
5TH0,1954-12-23 06:00:00+00:00,1955,65.0,,
5TH0,1954-12-24 06:00:00+00:00,1955,60.0,,
5TH0,1954-12-25 06:00:00+00:00,1955,60.0,,
5TH0,1954-12-26 06:00:00+00:00,1955,68.0,,
5TH0,1954-12-27 06:00:00+00:00,1955,60.0,,
5TH0,1954-12-28 06:00:00+00:00,1955,57.0,,
5TH0,1954-12-29 06:00:00+00:00,1955,55.0,,
5TH0,1954-12-30 06:00:00+00:00,1955,55.0,,
5TH0,1954-12-31 06:00:00+00:00,1955,55.0,,
5TH0,1955-01-01 06:00:00+00:00,1955,55.0,,
5TH0,1955-01-02 06:00:00+00:00,1955,55.0,,
5TH0,1955-01-03 06:00:00+00:00,1955,55.0,,
5TH0,1955-01-04 06:00:00+00:00,1955,50.0,,
5TH0,1955-01-05 06:00:00+00:00,1955,47.0,,
5TH0,1955-01-06 06:00:00+00:00,1955,45.0,,
5TH0,1955-01-07 06:00:00+00:00,1955,45.0,,
5TH0,1955-01-08 06:00:00+00:00,1955,42.0,,
5TH0,1955-01-09 06:00:00+00:00,1955,42.0,,
5TH0,1955-01-10 06:00:00+00:00,1955,42.0,,
5TH0,1955-01-11 06:00:00+00:00,1955,40.0,,
5TH0,1955-01-12 06:00:00+00:00,1955,35.0,,
5TH0,1955-01-13 06:00:00+00:00,1955,32.0,,
5TH0,1955-01-14 06:00:00+00:00,1955,28.0,,
5TH0,1955-01-15 06:00:00+00:00,1955,25.0,,
5TH0,1955-01-16 06:00:00+00:00,1955,25.0,,
5TH0,1955-01-17 06:00:00+00:00,1955,20.0,,
5TH0,1955-01-18 06:00:00+00:00,1955,28.0,,
5TH0,1955-01-19 06:00:00+00:00,1955,28.0,,
5TH0,1955-01-20 06:00:00+00:00,1955,25.0,,
5TH0,1955-01-21 06:00:00+00:00,1955,25.0,,
5TH0,1955-01-22 06:00:00+00:00,1955,22.0,,
5TH0,1955-01-23 06:00:00+00:00,1955,22.0,,
5TH0,1955-01-24 06:00:00+00:00,1955,22.0,,
5TH0,1955-01-25 06:00:00+00:00,1955,22.0,,
5TH0,1955-01-26 06:00:00+00:00,1955,20.0,,
5TH0,1955-01-27 06:00:00+00:00,1955,18.0,,
5TH0,1955-01-28 06:00:00+00:00,1955,18.0,,
5TH0,1955-01-29 06:00:00+00:00,1955,16.0,,
5TH0,1955-01-30 06:00:00+00:00,1955,16.0,,
5TH0,1955-01-31 06:00:00+00:00,1955,16.0,,
5TH0,1955-02-01 06:00:00+00:00,1955,14.0,,
5TH0,1955-02-02 06:00:00+00:00,1955,12.0,,
5TH0,1955-02-03 06:00:00+00:00,1955,8.0,,
5TH0,1955-02-04 06:00:00+00:00,1955,8.0,,
5TH0,1955-02-05 06:00:00+00:00,1955,8.0,,
5TH0,1955-02-06 06:00:00+00:00,1955,8.0,,
5TH0,1955-02-07 06:00:00+00:00,1955,8.0,,
5TH0,1955-02-08 06:00:00+00:00,1955,20.0,,
5TH0,1955-02-09 06:00:00+00:00,1955,25.0,,
5TH0,1955-02-10 06:00:00+00:00,1955,30.0,,
5TH0,1955-02-11 06:00:00+00:00,1955,27.0,,
5TH0,1955-02-12 06:00:00+00:00,1955,27.0,,
5TH0,1955-02-13 06:00:00+00:00,1955,27.0,,
5TH0,1955-02-14 06:00:00+00:00,1955,27.0,,
5TH0,1955-02-15 06:00:00+00:00,1955,27.0,,
5TH0,1955-02-16 06:00:00+00:00,1955,25.0,,
5TH0,1955-02-17 06:00:00+00:00,1955,25.0,,
5TH0,1955-02-18 06:00:00+00:00,1955,50.0,,
5TH0,1955-02-19 06:00:00+00:00,1955,60.0,,
5TH0,1955-02-20 06:00:00+00:00,1955,60.0,,
5TH0,1955-02-21 06:00:00+00:00,1955,45.0,,
5TH0,1955-02-22 06:00:00+00:00,1955,60.0,,
5TH0,1955-02-23 06:00:00+00:00,1955,50.0,,
5TH0,1955-02-24 06:00:00+00:00,1955,45.0,,
5TH0,1955-02-25 06:00:00+00:00,1955,40.0,,
5TH0,1955-02-26 06:00:00+00:00,1955,35.0,,
5TH0,1955-02-27 06:00:00+00:00,1955,35.0,,
5TH0,1955-02-28 06:00:00+00:00,1955,35.0,,
5TH0,1955-03-01 06:00:00+00:00,1955,35.0,,
5TH0,1955-03-02 06:00:00+00:00,1955,35.0,,
5TH0,1955-03-03 06:00:00+00:00,1955,35.0,,
5TH0,1955-03-04 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-05 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-06 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-07 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-08 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-09 06:00:00+00:00,1955,32.0,,
5TH0,1955-03-10 06:00:00+00:00,1955,30.0,,
5TH0,1955-03-11 06:00:00+00:00,1955,30.0,,
5TH0,1955-03-12 06:00:00+00:00,1955,30.0,,
5TH0,1955-03-13 06:00:00+00:00,1955,27.0,,
5TH0,1955-03-14 06:00:00+00:00,1955,27.0,,
5TH0,1955-03-15 06:00:00+00:00,1955,20.0,,
5TH0,1955-03-16 06:00:00+00:00,1955,15.0,,
5TH0,1955-03-17 06:00:00+00:00,1955,12.0,,
5TH0,1955-03-18 06:00:00+00:00,1955,10.0,,
5TH0,1955-03-19 06:00:00+00:00,1955,10.0,,
5TH0,1955-03-20 06:00:00+00:00,1955,6.0,,
5TH0,1955-03-21 06:00:00+00:00,1955,4.0,,
5TH0,1955-03-22 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-23 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-24 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-25 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-26 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-27 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-28 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-29 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-30 06:00:00+00:00,1955,0.0,,
5TH0,1955-03-31 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-01 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-02 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-03 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-04 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-05 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-06 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-07 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-08 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-09 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-10 06:00:00+00:00,1955,0.0,,
5TH0,1955-04-11 06:00:00+00:00,1955,0.0,,
