datetime,rre150h0
2020-07-31 00:00:00+00:00,49.9
2020-08-31 00:00:00+00:00,95.9
2020-09-30 00:00:00+00:00,73.2
2020-10-31 00:00:00+00:00,68.6
2020-11-30 00:00:00+00:00,0.6
2020-12-31 00:00:00+00:00,72.8
2021-01-31 00:00:00+00:00,150.5
2021-02-28 00:00:00+00:00,18.2
2021-03-31 00:00:00+00:00,48.5
2021-04-30 00:00:00+00:00,11.8
2021-05-31 00:00:00+00:00,61.6
2021-06-30 00:00:00+00:00,56.3
2021-07-31 00:00:00+00:00,202.8
2021-08-31 00:00:00+00:00,120.4
2021-09-30 00:00:00+00:00,42.4
2021-10-31 00:00:00+00:00,15.1
2021-11-30 00:00:00+00:00,73.4
2021-12-31 00:00:00+00:00,44.2
2022-01-31 00:00:00+00:00,21.0
2022-02-28 00:00:00+00:00,57.4
2022-03-31 00:00:00+00:00,1.0
2022-04-30 00:00:00+00:00,36.6
2022-05-31 00:00:00+00:00,62.5
2022-06-30 00:00:00+00:00,92.1
2022-07-31 00:00:00+00:00,94.60000000000001
2022-08-31 00:00:00+00:00,67.1
2022-09-30 00:00:00+00:00,67.0
2022-10-31 00:00:00+00:00,63.7
2022-11-30 00:00:00+00:00,31.9
2022-12-31 00:00:00+00:00,48.9
2023-01-31 00:00:00+00:00,9.4
2023-02-28 00:00:00+00:00,25.9
2023-03-31 00:00:00+00:00,87.8
2023-04-30 00:00:00+00:00,103.60000000000001
2023-05-31 00:00:00+00:00,58.2
2023-06-30 00:00:00+00:00,26.0
2023-07-31 00:00:00+00:00,94.2
2023-08-31 00:00:00+00:00,211.4
2023-09-30 00:00:00+00:00,112.6
2023-10-31 00:00:00+00:00,57.1
