datetime,rre150h0
2018-01-31 00:00:00+00:00,199.8
2018-02-28 00:00:00+00:00,146.7
2018-03-31 00:00:00+00:00,76.9
2018-04-30 00:00:00+00:00,23.5
2018-05-31 00:00:00+00:00,49.4
2018-06-30 00:00:00+00:00,70.8
2018-07-31 00:00:00+00:00,18.7
2018-08-31 00:00:00+00:00,66.1
2018-09-30 00:00:00+00:00,55.8
2018-10-31 00:00:00+00:00,62.1
2018-11-30 00:00:00+00:00,27.0
2018-12-31 00:00:00+00:00,184.7
2019-01-31 00:00:00+00:00,309.3
2019-02-28 00:00:00+00:00,51.5
2019-03-31 00:00:00+00:00,83.1
2019-04-30 00:00:00+00:00,81.1
2019-05-31 00:00:00+00:00,181.7
2019-06-30 00:00:00+00:00,33.9
2019-07-31 00:00:00+00:00,0.0
2019-08-31 00:00:00+00:00,0.0
2019-09-30 00:00:00+00:00,8.3
2019-10-31 00:00:00+00:00,7.2
2019-11-30 00:00:00+00:00,41.800000000000004
2019-12-31 00:00:00+00:00,98.1
2020-01-31 00:00:00+00:00,53.1
2020-02-29 00:00:00+00:00,186.8
2020-03-31 00:00:00+00:00,84.3
2020-04-30 00:00:00+00:00,51.2
2020-05-31 00:00:00+00:00,122.0
2020-06-30 00:00:00+00:00,230.0
2020-07-31 00:00:00+00:00,103.2
2020-08-31 00:00:00+00:00,192.1
2020-09-30 00:00:00+00:00,107.5
2020-10-31 00:00:00+00:00,96.7
2020-11-30 00:00:00+00:00,3.3
2020-12-31 00:00:00+00:00,33.2
2021-01-31 00:00:00+00:00,106.5
2021-02-28 00:00:00+00:00,40.6
2021-03-31 00:00:00+00:00,36.0
2021-04-30 00:00:00+00:00,4.0
2021-05-31 00:00:00+00:00,0.8
2021-06-30 00:00:00+00:00,7.7
2021-07-31 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-30 00:00:00+00:00,0.0
2021-10-31 00:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,1.2000000000000002
2021-12-31 00:00:00+00:00,3.6
2022-01-31 00:00:00+00:00,2.8000000000000003
2022-02-28 00:00:00+00:00,2.2
2022-03-31 00:00:00+00:00,0.0
2022-04-30 00:00:00+00:00,4.0
2022-05-31 00:00:00+00:00,1.8
2022-06-30 00:00:00+00:00,0.4
2022-07-31 00:00:00+00:00,0.1
2022-08-31 00:00:00+00:00,0.2
2022-09-30 00:00:00+00:00,0.8
2022-10-31 00:00:00+00:00,0.30000000000000004
2022-11-30 00:00:00+00:00,0.0
2022-12-31 00:00:00+00:00,0.0
2023-01-31 00:00:00+00:00,0.1
2023-02-28 00:00:00+00:00,34.8
2023-03-31 00:00:00+00:00,84.5
2023-04-30 00:00:00+00:00,141.0
2023-05-31 00:00:00+00:00,0.0
2023-06-30 00:00:00+00:00,0.0
2023-07-31 00:00:00+00:00,0.0
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,50.1
2023-10-31 00:00:00+00:00,35.4
2023-11-30 00:00:00+00:00,188.0
2023-12-31 00:00:00+00:00,37.2
