datetime,rre150h0
2018-01-07 00:00:00+00:00,59.0
2018-01-14 00:00:00+00:00,0.8
2018-01-21 00:00:00+00:00,102.8
2018-01-28 00:00:00+00:00,37.2
2018-02-04 00:00:00+00:00,7.1
2018-02-11 00:00:00+00:00,13.3
2018-02-18 00:00:00+00:00,125.3
2018-02-25 00:00:00+00:00,0.9
2018-03-04 00:00:00+00:00,9.1
2018-03-11 00:00:00+00:00,8.2
2018-03-18 00:00:00+00:00,14.4
2018-03-25 00:00:00+00:00,4.3
2018-04-01 00:00:00+00:00,44.8
2018-04-08 00:00:00+00:00,2.7
2018-04-15 00:00:00+00:00,0.0
2018-04-22 00:00:00+00:00,6.3999999999999995
2018-04-29 00:00:00+00:00,9.5
2018-05-06 00:00:00+00:00,2.0
2018-05-13 00:00:00+00:00,12.6
2018-05-20 00:00:00+00:00,35.5
2018-05-27 00:00:00+00:00,0.0
2018-06-03 00:00:00+00:00,0.6000000000000001
2018-06-10 00:00:00+00:00,10.9
2018-06-17 00:00:00+00:00,50.2
2018-06-24 00:00:00+00:00,5.7
2018-07-01 00:00:00+00:00,3.8000000000000003
2018-07-08 00:00:00+00:00,16.900000000000002
2018-07-15 00:00:00+00:00,1.8
2018-07-22 00:00:00+00:00,0.0
2018-07-29 00:00:00+00:00,0.0
2018-08-05 00:00:00+00:00,0.0
2018-08-12 00:00:00+00:00,2.8
2018-08-19 00:00:00+00:00,10.7
2018-08-26 00:00:00+00:00,28.0
2018-09-02 00:00:00+00:00,40.6
2018-09-09 00:00:00+00:00,8.8
2018-09-16 00:00:00+00:00,9.7
2018-09-23 00:00:00+00:00,17.8
2018-09-30 00:00:00+00:00,3.5
2018-10-07 00:00:00+00:00,22.0
2018-10-14 00:00:00+00:00,0.0
2018-10-21 00:00:00+00:00,0.0
2018-10-28 00:00:00+00:00,35.6
2018-11-04 00:00:00+00:00,4.5
2018-11-11 00:00:00+00:00,0.1
2018-11-18 00:00:00+00:00,0.7
2018-11-25 00:00:00+00:00,1.3
2018-12-02 00:00:00+00:00,42.5
2018-12-09 00:00:00+00:00,59.6
2018-12-16 00:00:00+00:00,38.5
2018-12-23 00:00:00+00:00,24.900000000000002
2018-12-30 00:00:00+00:00,35.8
2019-01-06 00:00:00+00:00,109.3
2019-01-13 00:00:00+00:00,91.6
2019-01-20 00:00:00+00:00,18.7
2019-01-27 00:00:00+00:00,94.5
2019-02-03 00:00:00+00:00,35.2
2019-02-10 00:00:00+00:00,15.3
2019-02-17 00:00:00+00:00,2.2
2019-02-24 00:00:00+00:00,2.3
2019-03-03 00:00:00+00:00,4.1000000000000005
2019-03-10 00:00:00+00:00,19.7
2019-03-17 00:00:00+00:00,54.4
2019-03-24 00:00:00+00:00,1.0
2019-03-31 00:00:00+00:00,3.9
2019-04-07 00:00:00+00:00,19.9
2019-04-14 00:00:00+00:00,20.9
2019-04-21 00:00:00+00:00,0.0
2019-04-28 00:00:00+00:00,34.7
2019-05-05 00:00:00+00:00,42.4
2019-05-12 00:00:00+00:00,29.4
2019-05-19 00:00:00+00:00,6.7
2019-05-26 00:00:00+00:00,100.9
2019-06-02 00:00:00+00:00,7.9
2019-06-09 00:00:00+00:00,0.1
2019-06-16 00:00:00+00:00,33.8
2019-06-23 00:00:00+00:00,0.0
2019-06-30 00:00:00+00:00,0.0
2019-07-07 00:00:00+00:00,0.0
2019-07-14 00:00:00+00:00,0.0
2019-07-21 00:00:00+00:00,0.0
2019-07-28 00:00:00+00:00,0.0
2019-08-04 00:00:00+00:00,0.0
2019-08-11 00:00:00+00:00,0.0
2019-08-18 00:00:00+00:00,0.0
2019-08-25 00:00:00+00:00,0.0
2019-09-01 00:00:00+00:00,0.0
2019-09-08 00:00:00+00:00,0.0
2019-09-15 00:00:00+00:00,0.0
2019-09-22 00:00:00+00:00,0.0
2019-09-29 00:00:00+00:00,8.3
2019-10-06 00:00:00+00:00,7.2
2019-10-13 00:00:00+00:00,0.0
