datetime,rre150h0
2018-01-31 00:00:00+00:00,81.10000000000001
2018-02-28 00:00:00+00:00,51.4
2018-03-31 00:00:00+00:00,51.300000000000004
2018-04-30 00:00:00+00:00,8.7
2018-05-31 00:00:00+00:00,19.6
2018-06-30 00:00:00+00:00,27.6
2018-07-31 00:00:00+00:00,14.5
2018-08-31 00:00:00+00:00,27.3
2018-09-30 00:00:00+00:00,29.400000000000002
2018-10-31 00:00:00+00:00,25.900000000000002
2018-11-30 00:00:00+00:00,11.8
2018-12-31 00:00:00+00:00,75.5
2019-01-31 00:00:00+00:00,117.1
2019-02-28 00:00:00+00:00,23.8
2019-03-31 00:00:00+00:00,48.0
2019-04-30 00:00:00+00:00,35.1
2019-05-31 00:00:00+00:00,79.8
2019-06-30 00:00:00+00:00,5.5
2019-07-31 00:00:00+00:00,20.1
2019-08-31 00:00:00+00:00,13.0
2019-09-30 00:00:00+00:00,48.800000000000004
2019-10-31 00:00:00+00:00,44.300000000000004
2019-11-30 00:00:00+00:00,36.1
2019-12-31 00:00:00+00:00,39.1
2020-01-31 00:00:00+00:00,28.6
2020-02-29 00:00:00+00:00,67.7
2020-03-31 00:00:00+00:00,36.8
2020-04-30 00:00:00+00:00,17.8
2020-05-31 00:00:00+00:00,40.7
2020-06-30 00:00:00+00:00,81.8
2020-07-31 00:00:00+00:00,27.3
2020-08-31 00:00:00+00:00,54.2
2020-09-30 00:00:00+00:00,32.7
2020-10-31 00:00:00+00:00,55.800000000000004
2020-11-30 00:00:00+00:00,9.5
2020-12-31 00:00:00+00:00,51.2
2021-01-31 00:00:00+00:00,148.8
2021-02-28 00:00:00+00:00,39.1
2021-03-31 00:00:00+00:00,38.0
2021-04-30 00:00:00+00:00,26.400000000000002
2021-05-31 00:00:00+00:00,61.800000000000004
2021-06-30 00:00:00+00:00,41.2
2021-07-31 00:00:00+00:00,64.0
2021-08-31 00:00:00+00:00,53.300000000000004
2021-09-30 00:00:00+00:00,16.8
2021-10-31 00:00:00+00:00,25.0
2021-11-30 00:00:00+00:00,54.1
2021-12-31 00:00:00+00:00,54.2
2022-01-31 00:00:00+00:00,30.400000000000002
2022-02-28 00:00:00+00:00,42.4
2022-03-31 00:00:00+00:00,4.9
2022-04-30 00:00:00+00:00,40.3
2022-05-31 00:00:00+00:00,16.400000000000002
2022-06-30 00:00:00+00:00,20.5
2022-07-31 00:00:00+00:00,13.700000000000001
2022-08-31 00:00:00+00:00,28.4
2022-09-30 00:00:00+00:00,52.2
2022-10-31 00:00:00+00:00,43.7
2022-11-30 00:00:00+00:00,32.4
2022-12-31 00:00:00+00:00,47.1
2023-01-31 00:00:00+00:00,24.0
2023-02-28 00:00:00+00:00,28.8
2023-03-31 00:00:00+00:00,45.7
2023-04-30 00:00:00+00:00,37.300000000000004
2023-05-31 00:00:00+00:00,27.3
2023-06-30 00:00:00+00:00,5.3
2023-07-31 00:00:00+00:00,3.2
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,0.0
2023-10-31 00:00:00+00:00,0.0
2023-11-30 00:00:00+00:00,0.0
2023-12-31 00:00:00+00:00,1.8
