datetime,rre150h0
2020-07-31 00:00:00+00:00,60.6
2020-08-31 00:00:00+00:00,201.8
2020-09-30 00:00:00+00:00,90.2
2020-10-31 00:00:00+00:00,128.4
2020-11-30 00:00:00+00:00,0.2
2020-12-31 00:00:00+00:00,85.2
2021-01-31 00:00:00+00:00,111.8
2021-02-28 00:00:00+00:00,23.0
2021-03-31 00:00:00+00:00,19.8
2021-04-30 00:00:00+00:00,14.0
2021-05-31 00:00:00+00:00,72.4
2021-06-30 00:00:00+00:00,69.6
2021-07-31 00:00:00+00:00,173.4
2021-08-31 00:00:00+00:00,108.6
2021-09-30 00:00:00+00:00,48.0
2021-10-31 00:00:00+00:00,13.8
2021-11-30 00:00:00+00:00,106.4
2021-12-31 00:00:00+00:00,33.8
2022-01-31 00:00:00+00:00,22.2
2022-02-28 00:00:00+00:00,45.2
2022-03-31 00:00:00+00:00,1.2
2022-04-30 00:00:00+00:00,19.6
2022-05-31 00:00:00+00:00,45.4
2022-06-30 00:00:00+00:00,96.60000000000001
2022-07-31 00:00:00+00:00,99.0
2022-08-31 00:00:00+00:00,42.0
2022-09-30 00:00:00+00:00,95.8
2022-10-31 00:00:00+00:00,57.6
2022-11-30 00:00:00+00:00,23.2
2022-12-31 00:00:00+00:00,32.0
2023-01-31 00:00:00+00:00,9.0
2023-02-28 00:00:00+00:00,6.4
2023-03-31 00:00:00+00:00,54.4
2023-04-30 00:00:00+00:00,68.6
2023-05-31 00:00:00+00:00,56.0
2023-06-30 00:00:00+00:00,20.2
2023-07-31 00:00:00+00:00,73.2
2023-08-31 00:00:00+00:00,238.6
2023-09-30 00:00:00+00:00,148.8
2023-10-31 00:00:00+00:00,0.0
