datetime,valid,temperature(C),discharge(L/min)
2022-08-31 08:07:25.023000+00:00,True,10.4,92.7
2022-08-31 08:17:25.023000+00:00,True,10.4,89.4
2022-08-31 08:27:25.023000+00:00,True,10.4,92.3
2022-08-31 08:37:25.023000+00:00,True,10.4,93.6
2022-08-31 08:47:25.023000+00:00,True,10.5,93.9
2022-08-31 08:57:25.023000+00:00,True,10.4,93.9
2022-08-31 09:07:25.023000+00:00,True,10.5,90.3
2022-08-31 09:17:25.023000+00:00,True,10.5,93.9
2022-08-31 09:27:25.023000+00:00,True,10.5,92.1
2022-08-31 09:37:25.023000+00:00,True,10.5,94.3
2022-08-31 09:47:25.023000+00:00,True,10.5,92.3
2022-08-31 09:57:25.023000+00:00,True,10.4,91.4
2022-08-31 10:07:25.023000+00:00,True,10.5,93.7
2022-08-31 10:17:25.023000+00:00,True,10.4,93.1
2022-08-31 10:27:25.023000+00:00,True,10.5,92.4
2022-08-31 10:37:25.023000+00:00,True,10.5,95.7
2022-08-31 10:47:25.023000+00:00,True,10.5,97.9
2022-08-31 10:57:25.023000+00:00,True,10.5,97.1
2022-08-31 11:07:25.023000+00:00,True,10.4,97.2
2022-08-31 11:17:25.023000+00:00,True,10.4,96.4
2022-08-31 11:27:25.023000+00:00,True,10.5,95.5
2022-08-31 11:37:25.023000+00:00,True,10.5,97.1
2022-08-31 11:47:25.023000+00:00,True,10.4,95.6
2022-08-31 11:57:25.023000+00:00,True,10.5,96.3
2022-08-31 12:07:25.023000+00:00,True,10.4,94.9
2022-08-31 12:17:25.023000+00:00,True,10.5,96.9
2022-08-31 12:27:25.023000+00:00,True,10.5,96.7
2022-08-31 12:37:25.023000+00:00,True,10.4,97.8
2022-08-31 12:47:25.023000+00:00,True,10.4,96.0
2022-08-31 12:57:25.023000+00:00,True,10.5,96.6
2022-08-31 13:07:25.023000+00:00,True,10.4,98.8
2022-08-31 13:17:25.023000+00:00,True,10.5,98.4
2022-08-31 13:27:25.023000+00:00,True,10.6,103.0
2022-08-31 13:37:25.023000+00:00,True,10.5,100.2
2022-08-31 13:47:25.023000+00:00,True,10.5,101.4
2022-08-31 13:57:25.023000+00:00,True,10.5,98.5
2022-08-31 14:07:25.023000+00:00,True,10.5,98.9
2022-08-31 14:17:25.023000+00:00,True,10.5,97.9
2022-08-31 14:27:25.023000+00:00,True,10.5,96.7
2022-08-31 14:37:25.023000+00:00,True,10.5,97.4
2022-08-31 14:47:25.023000+00:00,True,10.5,96.5
2022-08-31 14:57:25.023000+00:00,True,10.5,96.8
2022-08-31 15:07:25.023000+00:00,True,10.5,98.3
2022-08-31 15:17:25.023000+00:00,True,10.5,98.4
2022-08-31 15:27:25.023000+00:00,True,10.5,98.5
2022-08-31 15:37:25.023000+00:00,True,10.5,98.9
2022-08-31 15:47:25.023000+00:00,True,10.5,96.4
2022-08-31 15:57:25.023000+00:00,True,10.5,97.2
2022-08-31 16:07:25.023000+00:00,True,10.5,97.8
2022-08-31 16:17:25.023000+00:00,True,10.5,98.9
2022-08-31 16:27:25.023000+00:00,True,10.5,96.3
2022-08-31 16:37:25.023000+00:00,True,10.5,97.1
2022-08-31 16:47:25.023000+00:00,True,10.5,98.3
2022-08-31 16:57:25.023000+00:00,True,10.5,97.0
2022-08-31 17:07:25.023000+00:00,True,10.5,98.0
2022-08-31 17:17:25.023000+00:00,True,10.5,98.1
2022-08-31 17:27:25.023000+00:00,True,10.5,96.0
2022-08-31 17:37:25.023000+00:00,True,10.5,99.2
2022-08-31 17:47:25.023000+00:00,True,10.5,98.2
2022-08-31 17:57:25.023000+00:00,True,10.5,98.9
2022-08-31 18:07:25.023000+00:00,True,10.5,99.6
2022-08-31 18:17:25.023000+00:00,True,10.5,98.4
2022-08-31 18:27:25.023000+00:00,True,10.5,101.3
2022-08-31 18:37:25.023000+00:00,True,10.5,99.1
2022-08-31 18:47:25.023000+00:00,True,10.5,99.3
2022-08-31 18:57:25.023000+00:00,True,10.5,96.3
2022-08-31 19:07:25.023000+00:00,True,10.5,101.6
2022-08-31 19:17:25.023000+00:00,True,10.5,101.0
2022-08-31 19:27:25.023000+00:00,True,10.5,98.4
2022-08-31 19:37:25.023000+00:00,True,10.5,96.5
2022-08-31 19:47:25.023000+00:00,True,10.5,98.5
2022-08-31 19:57:25.023000+00:00,True,10.5,99.3
2022-08-31 20:07:25.023000+00:00,True,10.5,99.5
2022-08-31 20:17:25.023000+00:00,True,10.5,101.2
2022-08-31 20:27:25.023000+00:00,True,10.5,100.1
2022-08-31 20:37:25.023000+00:00,True,10.5,99.1
2022-08-31 20:47:25.023000+00:00,True,10.5,99.7
2022-08-31 20:57:25.023000+00:00,True,10.5,98.8
2022-08-31 21:07:25.023000+00:00,True,10.5,100.4
2022-08-31 21:17:25.023000+00:00,True,10.5,98.4
2022-08-31 21:27:25.023000+00:00,True,10.5,98.7
2022-08-31 21:37:25.023000+00:00,True,10.5,98.4
2022-08-31 21:47:25.023000+00:00,True,10.5,98.7
2022-08-31 21:57:25.023000+00:00,True,10.5,99.1
2022-08-31 22:07:25.023000+00:00,True,10.5,96.0
2022-08-31 22:17:25.023000+00:00,True,10.5,95.9
2022-08-31 22:27:25.023000+00:00,True,10.5,99.8
2022-08-31 22:37:25.023000+00:00,True,10.5,94.5
2022-08-31 22:47:25.023000+00:00,True,10.5,100.4
2022-08-31 22:57:25.023000+00:00,True,10.5,100.6
2022-08-31 23:07:25.023000+00:00,True,10.5,98.0
2022-08-31 23:17:25.023000+00:00,True,10.5,96.7
2022-08-31 23:27:25.023000+00:00,True,10.5,99.6
2022-08-31 23:37:25.023000+00:00,True,10.5,98.1
2022-08-31 23:47:25.023000+00:00,True,10.5,100.7
2022-08-31 23:57:25.023000+00:00,True,10.5,97.1
2022-09-01 00:07:25.023000+00:00,True,10.5,98.6
2022-09-01 00:17:25.023000+00:00,True,10.5,96.9
