datetime,valid,temperature(C),discharge(L/min)
2021-11-12 23:04:22.023000+00:00,True,5.1,348.3
2021-11-12 23:14:22.023000+00:00,True,5.1,349.0
2021-11-12 23:24:22.023000+00:00,True,5.1,344.9
2021-11-12 23:34:22.023000+00:00,True,5.1,349.0
2021-11-12 23:44:22.023000+00:00,True,5.1,349.3
2021-11-12 23:54:22.023000+00:00,True,5.1,344.9
2021-11-13 00:04:22.023000+00:00,True,5.1,353.5
2021-11-13 00:14:22.023000+00:00,True,5.1,354.0
2021-11-13 00:24:22.023000+00:00,True,5.1,352.0
2021-11-13 00:34:22.023000+00:00,True,5.1,353.1
2021-11-13 00:44:22.023000+00:00,True,5.1,347.7
2021-11-13 00:54:22.023000+00:00,True,5.1,349.3
2021-11-13 01:04:22.023000+00:00,True,5.1,350.3
2021-11-13 01:14:22.023000+00:00,True,5.1,349.9
2021-11-13 01:24:22.023000+00:00,True,5.1,346.7
2021-11-13 01:34:22.023000+00:00,True,5.1,350.5
2021-11-13 01:44:22.023000+00:00,True,5.1,347.6
2021-11-13 01:54:22.023000+00:00,True,5.1,355.7
2021-11-13 02:04:22.023000+00:00,True,5.1,349.7
2021-11-13 02:14:22.023000+00:00,True,5.1,351.5
2021-11-13 02:24:22.023000+00:00,True,5.1,351.8
2021-11-13 02:34:22.023000+00:00,True,5.1,350.2
2021-11-13 02:44:22.023000+00:00,True,5.1,350.6
2021-11-13 02:54:22.023000+00:00,True,5.1,348.6
2021-11-13 03:04:22.023000+00:00,True,5.0,356.1
2021-11-13 03:14:22.023000+00:00,True,5.0,350.9
2021-11-13 03:24:22.023000+00:00,True,5.0,346.7
2021-11-13 03:34:22.023000+00:00,True,5.0,350.5
2021-11-13 03:44:22.023000+00:00,True,5.1,332.2
2021-11-13 03:54:22.023000+00:00,True,5.1,353.2
2021-11-13 04:04:22.023000+00:00,True,5.0,347.3
2021-11-13 04:14:22.023000+00:00,True,5.1,354.1
2021-11-13 04:24:22.023000+00:00,True,5.1,356.1
2021-11-13 04:34:22.023000+00:00,True,5.0,349.0
2021-11-13 04:44:22.023000+00:00,True,5.1,359.4
2021-11-13 04:54:22.023000+00:00,True,5.1,355.4
2021-11-13 05:04:22.023000+00:00,True,5.1,352.9
2021-11-13 05:14:22.023000+00:00,True,5.0,357.2
2021-11-13 05:24:22.023000+00:00,True,5.1,353.7
2021-11-13 05:34:22.023000+00:00,True,5.0,353.1
2021-11-13 05:44:22.023000+00:00,True,5.1,352.3
2021-11-13 05:54:22.023000+00:00,True,5.1,352.8
2021-11-13 06:04:22.023000+00:00,True,5.0,354.4
2021-11-13 06:14:22.023000+00:00,True,5.0,352.3
2021-11-13 06:24:22.023000+00:00,True,5.0,355.5
2021-11-13 06:34:22.023000+00:00,True,5.0,352.6
2021-11-13 06:44:22.023000+00:00,True,5.0,359.8
2021-11-13 06:54:22.023000+00:00,True,5.1,355.1
2021-11-13 07:04:22.023000+00:00,True,5.1,361.4
2021-11-13 07:14:22.023000+00:00,True,5.0,352.3
2021-11-13 07:24:22.023000+00:00,True,5.1,360.7
2021-11-13 07:34:22.023000+00:00,True,5.1,352.9
2021-11-13 07:44:22.023000+00:00,True,5.1,356.6
2021-11-13 07:54:22.023000+00:00,True,5.0,356.7
2021-11-13 08:04:22.023000+00:00,True,5.1,356.1
2021-11-13 08:14:22.023000+00:00,True,5.0,351.4
2021-11-13 08:24:22.023000+00:00,True,5.1,355.4
2021-11-13 08:34:22.023000+00:00,True,5.1,353.8
2021-11-13 08:44:22.023000+00:00,True,5.0,349.6
2021-11-13 08:54:22.023000+00:00,True,5.1,353.7
2021-11-13 09:04:22.023000+00:00,True,5.0,355.4
2021-11-13 09:14:22.023000+00:00,True,5.0,348.3
2021-11-13 09:24:22.023000+00:00,True,5.1,353.5
2021-11-13 09:34:22.023000+00:00,True,5.1,354.3
2021-11-13 09:44:22.023000+00:00,True,5.1,353.5
2021-11-13 09:54:22.023000+00:00,True,5.1,352.3
2021-11-13 10:04:22.023000+00:00,True,5.1,355.1
2021-11-13 10:14:22.023000+00:00,True,5.1,355.1
2021-11-13 10:24:22.023000+00:00,True,5.0,349.0
2021-11-13 10:34:22.023000+00:00,True,5.1,352.8
2021-11-13 10:44:22.023000+00:00,True,5.0,348.8
2021-11-13 10:54:22.023000+00:00,True,5.1,354.3
2021-11-13 11:04:22.023000+00:00,True,5.1,356.9
2021-11-13 11:14:22.023000+00:00,True,5.1,356.0
2021-11-13 11:24:22.023000+00:00,True,5.1,356.6
2021-11-13 11:34:22.023000+00:00,True,5.1,353.7
2021-11-13 11:44:22.023000+00:00,True,5.1,359.5
2021-11-13 11:54:22.023000+00:00,True,5.1,350.6
2021-11-13 12:04:22.023000+00:00,True,5.1,352.5
2021-11-13 12:14:22.023000+00:00,True,5.1,358.1
2021-11-13 12:24:22.023000+00:00,True,5.1,355.8
2021-11-13 12:34:22.023000+00:00,True,5.1,358.1
2021-11-13 12:44:22.023000+00:00,True,5.1,358.9
2021-11-13 12:54:22.023000+00:00,True,5.1,355.5
2021-11-13 13:04:22.023000+00:00,True,5.1,353.7
2021-11-13 13:14:22.023000+00:00,True,5.2,358.4
2021-11-13 13:24:22.023000+00:00,True,5.1,355.2
2021-11-13 13:34:22.023000+00:00,True,5.2,359.8
2021-11-13 13:44:22.023000+00:00,True,5.1,354.0
2021-11-13 13:54:22.023000+00:00,True,5.1,356.0
2021-11-13 14:04:22.023000+00:00,True,5.1,356.7
2021-11-13 14:14:22.023000+00:00,True,5.1,356.3
2021-11-13 14:24:22.023000+00:00,True,5.1,359.4
2021-11-13 14:34:22.023000+00:00,True,5.1,360.3
2021-11-13 14:44:22.023000+00:00,True,5.1,352.3
2021-11-13 14:54:22.023000+00:00,True,5.1,354.4
2021-11-13 15:04:22.023000+00:00,True,5.1,357.4
2021-11-13 15:14:22.023000+00:00,True,5.1,349.1
2021-11-13 15:24:22.023000+00:00,True,5.1,355.2
2021-11-13 15:34:22.023000+00:00,True,5.1,354.3
2021-11-13 15:44:22.023000+00:00,True,5.1,354.9
2021-11-13 15:54:22.023000+00:00,True,5.1,356.9
2021-11-13 16:04:22.023000+00:00,True,5.1,359.8
2021-11-13 16:14:22.023000+00:00,True,5.0,357.8
2021-11-13 16:24:22.023000+00:00,True,5.1,365.7
2021-11-13 16:34:22.023000+00:00,True,5.0,358.6
2021-11-13 16:44:22.023000+00:00,True,5.0,360.0
2021-11-13 16:54:22.023000+00:00,True,5.0,363.7
2021-11-13 17:04:22.023000+00:00,True,5.0,357.8
2021-11-13 17:14:22.023000+00:00,True,5.0,361.5
2021-11-13 17:24:22.023000+00:00,True,5.0,358.9
2021-11-13 17:34:22.023000+00:00,True,5.0,358.7
2021-11-13 17:44:22.023000+00:00,True,5.0,357.4
2021-11-13 17:54:22.023000+00:00,True,5.0,359.4
2021-11-13 18:04:22.023000+00:00,True,5.0,364.1
2021-11-13 18:14:22.023000+00:00,True,4.9,359.4
2021-11-13 18:24:22.023000+00:00,True,5.0,362.0
2021-11-13 18:34:22.023000+00:00,True,5.0,356.0
2021-11-13 18:44:22.023000+00:00,True,5.0,362.4
2021-11-13 18:54:22.023000+00:00,True,5.0,362.4
2021-11-13 19:04:22.023000+00:00,True,4.9,362.9
2021-11-13 19:14:22.023000+00:00,True,5.0,360.9
2021-11-13 19:24:22.023000+00:00,True,5.0,364.1
2021-11-13 19:34:22.023000+00:00,True,4.9,361.0
2021-11-13 19:44:22.023000+00:00,True,4.9,361.0
2021-11-13 19:54:22.023000+00:00,True,4.9,361.0
2021-11-13 20:04:22.023000+00:00,True,4.9,364.3
2021-11-13 20:14:22.023000+00:00,True,4.9,363.8
2021-11-13 20:24:22.023000+00:00,True,4.9,363.2
2021-11-13 20:34:22.023000+00:00,True,4.9,360.1
2021-11-13 20:44:22.023000+00:00,True,4.9,361.7
2021-11-13 20:54:22.023000+00:00,True,4.9,362.1
2021-11-13 21:04:22.023000+00:00,True,4.9,366.3
2021-11-13 21:14:22.023000+00:00,True,4.9,358.7
2021-11-13 21:24:22.023000+00:00,True,4.9,363.4
2021-11-13 21:34:22.023000+00:00,True,4.9,363.7
2021-11-13 21:44:22.023000+00:00,True,4.9,359.5
2021-11-13 21:54:22.023000+00:00,True,4.9,351.7
2021-11-13 22:04:22.023000+00:00,True,4.9,360.3
2021-11-13 22:14:22.023000+00:00,True,4.9,359.8
