datetime,valid,temperature(C),discharge(L/min)
2021-11-09 23:08:43.128000+00:00,True,7.0,18.0
2021-11-09 23:18:43.128000+00:00,True,7.0,18.3
2021-11-09 23:28:43.128000+00:00,True,7.1,18.3
2021-11-09 23:38:43.128000+00:00,True,7.1,18.5
2021-11-09 23:48:43.128000+00:00,True,7.1,18.2
2021-11-09 23:58:43.128000+00:00,True,7.2,19.2
2021-11-10 00:08:43.128000+00:00,True,7.1,18.4
2021-11-10 00:18:43.128000+00:00,True,7.1,18.0
2021-11-10 00:28:43.128000+00:00,True,7.1,18.7
2021-11-10 00:38:43.128000+00:00,True,7.1,18.5
2021-11-10 00:48:43.128000+00:00,True,7.1,18.0
2021-11-10 00:58:43.128000+00:00,True,7.1,19.1
2021-11-10 01:08:43.128000+00:00,True,7.1,18.7
2021-11-10 01:18:43.128000+00:00,True,7.1,18.8
2021-11-10 01:28:43.128000+00:00,True,7.1,18.6
2021-11-10 01:38:43.128000+00:00,True,7.1,18.5
2021-11-10 01:48:43.128000+00:00,True,7.1,18.1
2021-11-10 01:58:43.128000+00:00,True,7.1,18.7
2021-11-10 02:08:43.128000+00:00,True,7.0,18.2
2021-11-10 02:18:43.128000+00:00,True,7.1,18.7
2021-11-10 02:28:43.128000+00:00,True,7.1,18.5
2021-11-10 02:38:43.128000+00:00,True,7.1,18.8
2021-11-10 02:48:43.128000+00:00,True,7.1,19.1
2021-11-10 02:58:43.128000+00:00,True,7.1,18.7
2021-11-10 03:08:43.128000+00:00,True,7.1,18.5
2021-11-10 03:18:43.128000+00:00,True,7.1,18.5
2021-11-10 03:28:43.128000+00:00,True,7.1,19.4
2021-11-10 03:38:43.128000+00:00,True,7.1,19.1
2021-11-10 03:48:43.128000+00:00,True,7.1,19.0
2021-11-10 03:58:43.128000+00:00,True,7.1,19.2
2021-11-10 04:08:43.128000+00:00,True,7.0,19.0
2021-11-10 04:18:43.128000+00:00,True,7.1,19.4
2021-11-10 04:28:43.128000+00:00,True,7.1,19.2
2021-11-10 04:38:43.128000+00:00,True,7.1,19.5
2021-11-10 04:48:43.128000+00:00,True,7.1,19.2
2021-11-10 04:58:43.128000+00:00,True,7.1,19.5
2021-11-10 05:08:43.128000+00:00,True,7.1,19.8
2021-11-10 05:18:43.128000+00:00,True,7.0,18.9
2021-11-10 05:28:43.128000+00:00,True,7.0,18.9
2021-11-10 05:38:43.128000+00:00,True,7.1,19.1
2021-11-10 05:48:43.128000+00:00,True,7.1,19.6
2021-11-10 05:58:43.128000+00:00,True,7.0,19.0
2021-11-10 06:08:43.128000+00:00,True,7.0,19.1
2021-11-10 06:18:43.128000+00:00,True,7.0,19.3
2021-11-10 06:28:43.128000+00:00,True,7.1,19.5
2021-11-10 06:38:43.128000+00:00,True,7.1,19.4
2021-11-10 06:48:43.128000+00:00,True,7.1,19.2
2021-11-10 06:58:43.128000+00:00,True,7.1,19.9
2021-11-10 07:08:43.128000+00:00,True,7.1,19.6
2021-11-10 07:18:43.128000+00:00,True,7.1,19.7
2021-11-10 07:28:43.128000+00:00,True,7.1,19.6
2021-11-10 07:38:43.128000+00:00,True,7.1,19.6
2021-11-10 07:48:43.128000+00:00,True,7.1,19.5
2021-11-10 07:58:43.128000+00:00,True,7.1,19.7
2021-11-10 08:08:43.128000+00:00,True,7.1,19.9
2021-11-10 08:18:43.128000+00:00,True,7.1,19.8
2021-11-10 08:28:43.128000+00:00,True,7.1,19.7
2021-11-10 08:38:43.128000+00:00,True,7.1,19.9
2021-11-10 08:48:43.128000+00:00,True,7.1,19.9
2021-11-10 08:58:43.128000+00:00,True,7.1,20.3
2021-11-10 09:08:43.128000+00:00,True,7.1,20.5
2021-11-10 09:18:43.128000+00:00,True,7.0,19.6
2021-11-10 09:28:43.128000+00:00,True,7.1,20.6
2021-11-10 09:38:43.128000+00:00,True,7.1,20.4
2021-11-10 09:48:43.128000+00:00,True,7.1,20.5
2021-11-10 09:58:43.128000+00:00,True,7.1,20.2
2021-11-10 10:08:43.128000+00:00,True,7.1,20.8
2021-11-10 10:18:43.128000+00:00,True,7.1,20.7
2021-11-10 10:28:43.128000+00:00,True,7.1,20.5
2021-11-10 10:38:43.128000+00:00,True,7.1,20.4
2021-11-10 10:48:43.128000+00:00,True,7.2,21.5
2021-11-10 10:58:43.128000+00:00,True,7.2,21.3
2021-11-10 11:08:43.226000+00:00,True,7.2,21.4
2021-11-10 11:18:43.128000+00:00,True,7.1,21.0
2021-11-10 11:28:43.128000+00:00,True,7.2,21.1
2021-11-10 11:38:43.128000+00:00,True,7.2,21.9
2021-11-10 11:48:43.128000+00:00,True,7.2,22.3
2021-11-10 11:58:43.128000+00:00,True,7.1,21.2
2021-11-10 12:08:43.128000+00:00,True,7.2,21.8
2021-11-10 12:18:43.128000+00:00,True,7.2,22.5
2021-11-10 12:28:43.128000+00:00,True,7.2,22.0
2021-11-10 12:38:43.128000+00:00,True,7.2,21.9
2021-11-10 12:48:43.128000+00:00,True,7.3,22.9
2021-11-10 12:58:43.128000+00:00,True,7.2,21.9
2021-11-10 13:08:43.128000+00:00,True,7.2,22.4
2021-11-10 13:18:43.128000+00:00,True,7.2,22.5
2021-11-10 13:28:43.128000+00:00,True,7.2,22.1
2021-11-10 13:38:43.128000+00:00,True,7.3,22.8
2021-11-10 13:48:43.128000+00:00,True,7.2,22.2
2021-11-10 13:58:43.128000+00:00,True,7.3,22.6
2021-11-10 14:08:43.128000+00:00,True,7.2,22.6
2021-11-10 14:18:43.128000+00:00,True,7.3,22.8
2021-11-10 14:28:43.128000+00:00,True,7.2,22.6
2021-11-10 14:38:43.128000+00:00,True,7.3,22.8
2021-11-10 14:48:43.128000+00:00,True,7.3,22.5
2021-11-10 14:58:43.128000+00:00,True,7.2,22.0
2021-11-10 15:08:43.128000+00:00,True,7.3,22.7
2021-11-10 15:18:43.128000+00:00,True,7.3,23.1
2021-11-10 15:28:43.128000+00:00,True,7.3,22.8
2021-11-10 15:38:43.128000+00:00,True,7.3,22.6
2021-11-10 15:48:43.128000+00:00,True,7.2,22.1
2021-11-10 15:58:43.128000+00:00,True,7.3,23.2
2021-11-10 16:08:43.128000+00:00,True,7.3,23.4
2021-11-10 16:18:43.128000+00:00,True,7.3,23.1
2021-11-10 16:28:43.128000+00:00,True,7.2,22.4
2021-11-10 16:38:43.128000+00:00,True,7.2,22.6
2021-11-10 16:48:43.128000+00:00,True,7.3,22.6
2021-11-10 16:58:43.128000+00:00,True,7.3,23.0
2021-11-10 17:08:43.128000+00:00,True,7.3,22.6
2021-11-10 17:18:43.128000+00:00,True,7.3,22.8
2021-11-10 17:28:43.128000+00:00,True,7.3,22.8
2021-11-10 17:38:43.128000+00:00,True,7.3,23.1
2021-11-10 17:48:43.128000+00:00,True,7.3,23.0
2021-11-10 17:58:43.128000+00:00,True,7.3,23.2
2021-11-10 18:08:43.128000+00:00,True,7.2,22.4
2021-11-10 18:18:43.128000+00:00,True,7.3,22.9
2021-11-10 18:28:43.128000+00:00,True,7.3,23.3
2021-11-10 18:38:43.128000+00:00,True,7.3,23.2
2021-11-10 18:48:43.128000+00:00,True,7.3,23.0
2021-11-10 18:58:43.128000+00:00,True,7.3,23.7
2021-11-10 19:08:43.128000+00:00,True,7.2,22.2
2021-11-10 19:18:43.128000+00:00,True,7.3,22.6
2021-11-10 19:28:43.128000+00:00,True,7.2,22.2
2021-11-10 19:38:43.128000+00:00,True,7.3,23.0
2021-11-10 19:48:43.128000+00:00,True,7.3,22.9
2021-11-10 19:58:43.128000+00:00,True,7.3,22.6
2021-11-10 20:08:43.128000+00:00,True,7.3,22.8
2021-11-10 20:18:43.128000+00:00,True,7.3,22.1
2021-11-10 20:28:43.128000+00:00,True,7.3,23.1
2021-11-10 20:38:43.128000+00:00,True,7.2,21.9
2021-11-10 20:48:43.128000+00:00,True,7.2,22.5
2021-11-10 20:58:43.128000+00:00,True,7.2,22.6
2021-11-10 21:08:43.128000+00:00,True,7.3,22.6
2021-11-10 21:18:43.128000+00:00,True,7.3,22.9
2021-11-10 21:28:43.128000+00:00,True,7.3,23.1
2021-11-10 21:38:43.128000+00:00,True,7.3,23.0
2021-11-10 21:48:43.226000+00:00,True,7.2,22.7
2021-11-10 21:58:43.128000+00:00,True,7.3,23.2
2021-11-10 22:08:43.128000+00:00,True,7.2,22.5
2021-11-10 22:18:43.128000+00:00,True,7.3,23.3
2021-11-10 22:28:43.128000+00:00,True,7.3,23.2
2021-11-10 22:38:43.128000+00:00,True,7.3,23.5
2021-11-10 22:48:43.128000+00:00,True,7.3,23.2
2021-11-10 22:58:43.128000+00:00,True,7.3,23.9
2021-11-10 23:08:43.128000+00:00,True,7.3,23.0
2021-11-10 23:18:43.128000+00:00,True,7.3,23.6
2021-11-10 23:28:43.128000+00:00,True,7.3,23.1
2021-11-10 23:38:43.128000+00:00,True,7.3,23.5
2021-11-10 23:48:43.128000+00:00,True,7.3,23.4
2021-11-10 23:58:43.128000+00:00,True,7.3,23.7
2021-11-11 00:08:43.128000+00:00,True,7.3,23.2
2021-11-11 00:18:43.128000+00:00,True,7.3,23.4
2021-11-11 00:28:43.128000+00:00,True,7.3,23.6
2021-11-11 00:38:43.128000+00:00,True,7.3,23.2
2021-11-11 00:48:43.128000+00:00,True,7.3,23.3
2021-11-11 00:58:43.128000+00:00,True,7.3,23.5
2021-11-11 01:08:43.128000+00:00,True,7.3,23.5
2021-11-11 01:18:43.128000+00:00,True,7.2,22.8
2021-11-11 01:28:43.128000+00:00,True,7.3,23.4
2021-11-11 01:38:43.128000+00:00,True,7.2,23.0
2021-11-11 01:48:43.128000+00:00,True,7.3,23.6
2021-11-11 01:58:43.128000+00:00,True,7.3,23.2
2021-11-11 02:08:43.128000+00:00,True,7.3,23.9
2021-11-11 02:18:43.128000+00:00,True,7.2,23.0
2021-11-11 02:28:43.128000+00:00,True,7.3,24.0
2021-11-11 02:38:43.128000+00:00,True,7.2,23.0
2021-11-11 02:48:43.128000+00:00,True,7.3,23.5
2021-11-11 02:58:43.128000+00:00,True,7.3,23.4
2021-11-11 03:08:43.128000+00:00,True,7.3,23.5
2021-11-11 03:18:43.128000+00:00,True,7.3,23.6
2021-11-11 03:28:43.128000+00:00,True,7.3,23.4
2021-11-11 03:38:43.128000+00:00,True,7.3,23.4
2021-11-11 03:48:43.128000+00:00,True,7.3,23.4
2021-11-11 03:58:43.128000+00:00,True,7.3,23.5
2021-11-11 04:08:43.128000+00:00,True,7.3,23.4
2021-11-11 04:18:43.128000+00:00,True,7.3,23.4
2021-11-11 04:28:43.128000+00:00,True,7.3,23.4
2021-11-11 04:38:43.128000+00:00,True,7.3,23.5
2021-11-11 04:48:43.128000+00:00,True,7.2,22.9
2021-11-11 04:58:43.128000+00:00,True,7.3,23.4
2021-11-11 05:08:43.128000+00:00,True,7.3,23.6
2021-11-11 05:18:43.128000+00:00,True,7.3,23.3
2021-11-11 05:28:43.128000+00:00,True,7.3,23.2
2021-11-11 05:38:43.128000+00:00,True,7.3,23.2
2021-11-11 05:48:43.128000+00:00,True,7.2,23.0
2021-11-11 05:58:43.128000+00:00,True,7.3,23.6
2021-11-11 06:08:43.128000+00:00,True,7.3,23.7
2021-11-11 06:18:43.128000+00:00,True,7.3,23.0
2021-11-11 06:28:43.128000+00:00,True,7.3,23.6
2021-11-11 06:38:43.128000+00:00,True,7.3,24.1
2021-11-11 06:48:43.128000+00:00,True,7.3,23.4
2021-11-11 06:58:43.128000+00:00,True,7.3,23.3
2021-11-11 07:08:43.128000+00:00,True,7.3,23.4
2021-11-11 07:18:43.128000+00:00,True,7.3,23.7
2021-11-11 07:28:43.128000+00:00,True,7.2,23.3
2021-11-11 07:38:43.128000+00:00,True,7.3,23.6
2021-11-11 07:48:43.128000+00:00,True,7.3,23.4
2021-11-11 07:58:43.128000+00:00,True,7.3,24.1
2021-11-11 08:08:43.128000+00:00,True,7.2,22.9
2021-11-11 08:18:43.128000+00:00,True,7.3,23.6
2021-11-11 08:28:43.226000+00:00,True,7.3,23.8
2021-11-11 08:38:43.128000+00:00,True,7.3,23.9
2021-11-11 08:48:43.128000+00:00,True,7.3,23.8
2021-11-11 08:58:43.128000+00:00,True,7.3,24.0
2021-11-11 09:08:43.128000+00:00,True,7.3,23.8
2021-11-11 09:18:43.128000+00:00,True,7.3,23.5
2021-11-11 09:28:43.128000+00:00,True,7.3,23.7
2021-11-11 09:38:43.128000+00:00,True,7.3,24.1
2021-11-11 09:48:43.128000+00:00,True,7.3,23.5
2021-11-11 09:58:43.128000+00:00,True,7.3,23.5
2021-11-11 10:08:43.128000+00:00,True,7.4,23.8
2021-11-11 10:18:43.128000+00:00,True,7.4,23.9
2021-11-11 10:28:43.128000+00:00,True,7.3,23.3
2021-11-11 10:38:43.128000+00:00,True,7.4,23.8
2021-11-11 10:48:43.128000+00:00,True,7.4,23.8
2021-11-11 10:58:43.128000+00:00,True,7.3,23.0
2021-11-11 11:08:43.128000+00:00,True,7.4,24.3
2021-11-11 11:18:43.128000+00:00,True,7.4,23.7
2021-11-11 11:28:43.128000+00:00,True,7.4,23.8
2021-11-11 11:38:43.128000+00:00,True,7.4,23.6
2021-11-11 11:48:43.128000+00:00,True,7.5,24.4
2021-11-11 11:58:43.128000+00:00,True,7.4,23.8
2021-11-11 12:08:43.128000+00:00,True,7.4,23.9
2021-11-11 12:18:43.128000+00:00,True,7.4,24.3
2021-11-11 12:28:43.128000+00:00,True,7.4,23.6
2021-11-11 12:38:43.128000+00:00,True,7.5,24.6
2021-11-11 12:48:43.128000+00:00,True,7.4,24.1
2021-11-11 12:58:43.128000+00:00,True,7.5,24.2
2021-11-11 13:08:43.128000+00:00,True,7.5,23.9
2021-11-11 13:18:43.128000+00:00,True,7.5,24.3
2021-11-11 13:28:43.128000+00:00,True,7.4,23.7
2021-11-11 13:38:43.128000+00:00,True,7.4,23.6
2021-11-11 13:48:43.128000+00:00,True,7.5,24.0
2021-11-11 13:58:43.128000+00:00,True,7.4,23.4
2021-11-11 14:08:43.128000+00:00,True,7.4,23.9
2021-11-11 14:18:43.128000+00:00,True,7.4,23.5
2021-11-11 14:28:43.128000+00:00,True,7.5,23.6
2021-11-11 14:38:43.128000+00:00,True,7.5,24.2
2021-11-11 14:48:43.128000+00:00,True,7.5,24.1
2021-11-11 14:58:43.128000+00:00,True,7.5,23.9
2021-11-11 15:08:43.128000+00:00,True,7.5,23.8
2021-11-11 15:18:43.128000+00:00,True,7.5,24.1
2021-11-11 15:28:43.128000+00:00,True,7.5,23.8
2021-11-11 15:38:43.128000+00:00,True,7.4,23.6
2021-11-11 15:48:43.128000+00:00,True,7.5,24.2
2021-11-11 15:58:43.128000+00:00,True,7.5,23.8
2021-11-11 16:08:43.128000+00:00,True,7.5,24.0
2021-11-11 16:18:43.128000+00:00,True,7.4,23.4
2021-11-11 16:28:43.128000+00:00,True,7.5,23.8
2021-11-11 16:38:43.128000+00:00,True,7.5,24.1
2021-11-11 16:48:43.128000+00:00,True,7.5,24.1
2021-11-11 16:58:43.128000+00:00,True,7.4,23.4
2021-11-11 17:08:43.128000+00:00,True,7.5,23.3
2021-11-11 17:18:43.128000+00:00,True,7.5,23.7
2021-11-11 17:28:43.128000+00:00,True,7.5,23.9
2021-11-11 17:38:43.128000+00:00,True,7.4,23.6
2021-11-11 17:48:43.128000+00:00,True,7.4,23.5
2021-11-11 17:58:43.128000+00:00,True,7.5,24.3
2021-11-11 18:08:43.128000+00:00,True,7.5,23.4
2021-11-11 18:18:43.128000+00:00,True,7.5,23.4
2021-11-11 18:28:43.128000+00:00,True,7.5,24.1
2021-11-11 18:38:43.128000+00:00,True,7.5,23.5
2021-11-11 18:48:43.128000+00:00,True,7.4,23.2
2021-11-11 18:58:43.128000+00:00,True,7.5,23.4
2021-11-11 19:08:43.226000+00:00,True,7.5,23.9
2021-11-11 19:18:43.128000+00:00,True,7.5,23.2
2021-11-11 19:28:43.128000+00:00,True,7.4,23.1
2021-11-11 19:38:43.128000+00:00,True,7.4,23.4
2021-11-11 19:48:43.128000+00:00,True,7.5,23.7
2021-11-11 19:58:43.128000+00:00,True,7.5,23.7
2021-11-11 20:08:43.128000+00:00,True,7.5,23.6
2021-11-11 20:18:43.128000+00:00,True,7.5,23.5
2021-11-11 20:28:43.128000+00:00,True,7.5,23.4
2021-11-11 20:38:43.128000+00:00,True,7.4,23.5
2021-11-11 20:48:43.128000+00:00,True,7.5,23.4
2021-11-11 20:58:43.128000+00:00,True,7.4,23.1
2021-11-11 21:08:43.128000+00:00,True,7.4,23.0
2021-11-11 21:18:43.128000+00:00,True,7.4,23.2
2021-11-11 21:28:43.128000+00:00,True,7.4,23.3
2021-11-11 21:38:43.128000+00:00,True,7.4,23.0
2021-11-11 21:48:43.128000+00:00,True,7.4,23.0
2021-11-11 21:58:43.128000+00:00,True,7.4,23.2
2021-11-11 22:08:43.128000+00:00,True,7.4,22.7
2021-11-11 22:18:43.128000+00:00,True,7.5,23.2
2021-11-11 22:28:43.128000+00:00,True,7.4,22.6
2021-11-11 22:38:43.128000+00:00,True,7.4,23.1
2021-11-11 22:48:43.128000+00:00,True,7.4,23.3
2021-11-11 22:58:43.128000+00:00,True,7.5,23.2
2021-11-11 23:08:43.128000+00:00,True,7.4,22.6
2021-11-11 23:18:43.128000+00:00,True,7.4,22.5
2021-11-11 23:28:43.128000+00:00,True,7.4,23.2
2021-11-11 23:38:43.128000+00:00,True,7.4,22.8
2021-11-11 23:48:43.128000+00:00,True,7.4,23.0
2021-11-11 23:58:43.128000+00:00,True,7.4,22.9
2021-11-12 00:08:43.128000+00:00,True,7.4,22.8
2021-11-12 00:18:43.128000+00:00,True,7.4,22.6
2021-11-12 00:28:43.128000+00:00,True,7.5,23.2
2021-11-12 00:38:43.128000+00:00,True,7.4,22.5
2021-11-12 00:48:43.128000+00:00,True,7.4,23.1
2021-11-12 00:58:43.128000+00:00,True,7.4,22.3
2021-11-12 01:08:43.128000+00:00,True,7.4,22.6
2021-11-12 01:18:43.128000+00:00,True,7.4,22.8
2021-11-12 01:28:43.128000+00:00,True,7.4,23.0
2021-11-12 01:38:43.128000+00:00,True,7.4,22.6
2021-11-12 01:48:43.128000+00:00,True,7.5,22.9
2021-11-12 01:58:43.128000+00:00,True,7.5,23.0
2021-11-12 02:08:43.128000+00:00,True,7.4,22.7
2021-11-12 02:18:43.128000+00:00,True,7.4,22.3
2021-11-12 02:28:43.128000+00:00,True,7.4,22.1
2021-11-12 02:38:43.128000+00:00,True,7.4,23.1
2021-11-12 02:48:43.128000+00:00,True,7.5,23.0
2021-11-12 02:58:43.128000+00:00,True,7.4,22.9
2021-11-12 03:08:43.128000+00:00,True,7.4,22.8
2021-11-12 03:18:43.128000+00:00,True,7.3,21.8
2021-11-12 03:28:43.128000+00:00,True,7.4,22.1
2021-11-12 03:38:43.128000+00:00,True,7.4,22.5
2021-11-12 03:48:43.128000+00:00,True,7.4,22.2
2021-11-12 03:58:43.128000+00:00,True,7.4,22.2
2021-11-12 04:08:43.128000+00:00,True,7.4,22.7
2021-11-12 04:18:43.128000+00:00,True,7.4,22.4
2021-11-12 04:28:43.128000+00:00,True,7.4,22.7
2021-11-12 04:38:43.128000+00:00,True,7.4,22.6
2021-11-12 04:48:43.128000+00:00,True,7.4,22.8
2021-11-12 04:58:43.128000+00:00,True,7.4,22.3
2021-11-12 05:08:43.128000+00:00,True,7.4,21.9
2021-11-12 05:18:43.128000+00:00,True,7.4,22.0
2021-11-12 05:28:43.128000+00:00,True,7.4,22.3
2021-11-12 05:38:43.128000+00:00,True,7.3,21.9
2021-11-12 05:48:43.226000+00:00,True,7.4,22.4
2021-11-12 05:58:43.128000+00:00,True,7.4,22.0
2021-11-12 06:08:43.128000+00:00,True,7.4,22.2
2021-11-12 06:18:43.128000+00:00,True,7.4,21.9
2021-11-12 06:28:43.128000+00:00,True,7.4,22.2
2021-11-12 06:38:43.128000+00:00,True,7.4,21.9
2021-11-12 06:48:43.128000+00:00,True,7.4,21.8
2021-11-12 06:58:43.128000+00:00,True,7.4,22.2
2021-11-12 07:08:43.128000+00:00,True,7.4,22.0
2021-11-12 07:18:43.128000+00:00,True,7.4,22.1
2021-11-12 07:28:43.128000+00:00,True,7.4,22.6
