datetime,valid,temperature(C),discharge(L/min)
2021-02-04 13:13:20+00:00,True,9.7,337.5
2021-02-04 13:23:53+00:00,True,9.9,0.0
2021-02-04 13:33:53+00:00,True,9.8,302.4
2021-03-30 11:23:52+00:00,True,9.3,271.8
2021-03-30 11:45:06+00:00,True,9.3,106.5
2021-03-30 11:55:06+00:00,True,9.3,258.3
2021-03-30 12:05:06+00:00,True,9.2,241.8
2021-03-30 12:15:06+00:00,True,9.1,285.6
2021-03-30 12:25:06+00:00,True,9.0,302.5
2021-03-30 12:35:06+00:00,True,9.0,413.4
2021-03-30 12:45:06+00:00,True,9.0,309.8
2021-03-30 12:55:06+00:00,True,9.0,165.8
2021-03-30 13:05:06+00:00,True,8.9,212.9
2021-03-30 13:15:06+00:00,True,8.9,524.9
2021-03-30 13:25:06+00:00,True,8.8,227.3
2021-03-30 13:35:06+00:00,True,8.9,348.5
2021-03-30 13:45:06+00:00,True,9.0,215.3
2021-03-30 13:55:06+00:00,True,9.0,168.6
2021-03-30 14:05:06+00:00,True,8.9,155.7
2021-03-30 14:15:06+00:00,True,8.9,345.2
2021-03-30 14:25:06+00:00,True,8.9,293.8
2021-03-30 14:35:06+00:00,True,9.0,93.0
2021-03-30 14:45:06+00:00,True,8.9,209.9
2021-03-30 14:55:06+00:00,True,8.8,228.4
2021-03-30 15:05:06+00:00,True,9.0,408.5
2021-03-30 15:15:06+00:00,True,9.0,236.0
2021-03-30 15:25:06+00:00,True,8.9,259.1
2021-03-30 15:35:06+00:00,True,8.9,183.0
2021-03-30 15:45:06+00:00,True,9.0,308.1
2021-03-30 15:55:06+00:00,True,8.8,173.7
2021-03-30 16:05:06+00:00,True,8.9,189.2
2021-03-30 16:15:06+00:00,True,9.0,425.8
2021-03-30 16:25:06+00:00,True,8.9,237.4
2021-03-30 16:35:06+00:00,True,9.0,305.3
2021-03-30 16:45:06+00:00,True,8.8,305.7
2021-03-30 16:55:06+00:00,True,8.9,310.6
2021-03-30 17:05:06+00:00,True,8.9,362.2
2021-03-30 17:15:06+00:00,True,9.1,203.3
2021-03-30 17:25:06+00:00,True,8.8,149.6
2021-03-30 17:35:06+00:00,True,8.8,265.1
2021-03-30 17:45:06+00:00,True,8.9,234.7
2021-03-30 17:55:06+00:00,True,9.0,137.7
2021-03-30 18:05:06+00:00,True,8.9,126.7
2021-03-30 18:15:06+00:00,True,8.9,191.8
2021-03-30 18:25:06+00:00,True,8.9,275.5
2021-03-30 18:35:06+00:00,True,8.8,199.8
2021-03-30 18:45:06+00:00,True,8.9,326.9
2021-03-30 18:55:06+00:00,True,8.9,137.5
2021-03-30 19:05:06+00:00,True,8.9,238.8
2021-03-30 19:15:06+00:00,True,8.9,274.0
2021-03-30 19:25:06+00:00,True,8.9,165.1
2021-03-30 19:35:06+00:00,True,8.9,258.8
2021-03-30 19:45:06+00:00,True,8.8,222.6
2021-03-30 19:55:06+00:00,True,8.8,262.1
2021-03-30 20:05:06+00:00,True,8.9,159.4
2021-03-30 20:15:06+00:00,True,8.8,224.9
2021-03-30 20:25:06+00:00,True,8.8,183.0
2021-03-30 20:35:06+00:00,True,8.9,179.4
2021-03-30 20:45:06+00:00,True,9.0,265.4
2021-03-30 20:55:06+00:00,True,9.0,175.4
2021-03-30 21:05:06+00:00,True,8.9,242.6
2021-03-30 21:15:06+00:00,True,8.8,317.3
2021-03-30 21:25:06+00:00,True,9.0,251.5
2021-03-30 21:35:06+00:00,True,8.8,172.2
2021-03-30 21:45:06+00:00,True,9.0,406.6
2021-03-30 21:55:06+00:00,True,8.8,222.0
2021-03-30 22:05:06+00:00,True,8.9,238.0
2021-03-30 22:15:06+00:00,True,8.9,229.6
2021-03-30 22:25:06+00:00,True,8.9,340.3
2021-03-30 22:35:06+00:00,True,8.9,264.0
2021-03-30 22:45:06+00:00,True,8.8,419.8
2021-03-30 22:55:06+00:00,True,8.8,390.2
2021-03-30 23:05:06+00:00,True,8.9,126.7
2021-03-30 23:15:06+00:00,True,8.9,311.7
2021-03-30 23:25:06+00:00,True,8.9,354.9
2021-03-30 23:35:06+00:00,True,8.8,189.8
2021-03-30 23:45:06+00:00,True,8.8,145.2
2021-03-30 23:55:06+00:00,True,8.9,308.4
2021-03-31 00:05:06+00:00,True,8.8,218.6
2021-03-31 00:15:06+00:00,True,9.1,227.7
2021-03-31 00:25:06+00:00,True,8.8,113.7
2021-03-31 00:35:06+00:00,True,8.9,233.1
2021-03-31 00:45:06+00:00,True,9.0,189.3
2021-03-31 00:55:06+00:00,True,8.8,265.1
2021-03-31 01:05:06+00:00,True,8.9,171.1
2021-03-31 01:15:06+00:00,True,9.0,202.4
2021-03-31 01:25:06+00:00,True,8.9,219.5
2021-03-31 01:35:06+00:00,True,8.9,220.4
2021-03-31 01:45:06+00:00,True,8.9,445.2
2021-03-31 01:55:06+00:00,True,8.9,409.8
2021-03-31 02:05:06+00:00,True,8.9,292.3
2021-03-31 02:15:06+00:00,True,8.8,313.7
2021-03-31 02:25:06+00:00,True,8.9,221.5
2021-03-31 02:35:06+00:00,True,8.9,223.5
2021-03-31 02:45:06+00:00,True,8.8,400.0
2021-03-31 02:55:06+00:00,True,9.0,220.8
2021-03-31 03:05:06+00:00,True,8.9,435.6
