datetime,valid,temperature(C),discharge(L/min)
2021-01-13 23:02:25+00:00,True,11.3,327.5
2021-01-13 23:12:25+00:00,True,11.5,339.0
2021-01-13 23:22:25+00:00,True,11.4,349.3
2021-01-13 23:32:25+00:00,True,11.4,341.9
2021-01-13 23:42:25+00:00,True,11.4,330.4
2021-01-13 23:52:25+00:00,True,11.4,353.7
2021-01-14 00:02:25+00:00,True,11.6,349.3
2021-01-14 00:12:25+00:00,True,11.5,337.6
2021-01-14 00:22:25+00:00,True,11.5,356.7
2021-01-14 00:32:25+00:00,True,11.4,353.7
2021-01-14 00:42:25+00:00,True,11.5,340.5
2021-01-14 00:52:25+00:00,True,11.4,361.1
2021-01-14 01:02:25+00:00,True,11.4,361.1
2021-01-14 01:12:25+00:00,True,11.5,347.8
2021-01-14 01:22:25+00:00,True,11.4,352.2
2021-01-14 01:32:25+00:00,True,11.4,364.1
2021-01-14 01:42:25+00:00,True,11.6,373.2
2021-01-14 01:52:25+00:00,True,11.2,355.2
2021-01-14 02:02:25+00:00,True,11.2,347.8
2021-01-14 02:12:25+00:00,True,11.5,367.1
2021-01-14 02:22:25+00:00,True,11.4,358.1
2021-01-14 02:32:25+00:00,True,11.3,361.1
2021-01-14 02:42:25+00:00,True,11.4,352.2
2021-01-14 02:52:25+00:00,True,11.6,352.2
2021-01-14 03:02:25+00:00,True,11.5,359.6
2021-01-14 03:12:25+00:00,True,11.2,344.9
2021-01-14 03:22:25+00:00,True,11.4,350.7
2021-01-14 03:32:25+00:00,True,11.4,353.7
2021-01-14 03:42:25+00:00,True,11.4,361.1
2021-01-14 03:52:25+00:00,True,11.5,359.6
2021-01-14 04:02:25+00:00,True,11.3,334.7
2021-01-14 04:12:25+00:00,True,11.6,353.7
2021-01-14 04:22:25+00:00,True,11.6,370.2
2021-01-14 04:32:25+00:00,True,11.4,350.7
2021-01-14 04:42:25+00:00,True,11.4,343.4
2021-01-14 04:52:25+00:00,True,11.5,365.6
2021-01-14 05:02:25+00:00,True,11.5,362.6
2021-01-14 05:12:25+00:00,True,11.5,362.6
2021-01-14 05:22:25+00:00,True,11.4,358.1
2021-01-14 05:32:25+00:00,True,11.5,364.1
2021-01-14 05:42:25+00:00,True,11.6,362.6
2021-01-14 05:52:25+00:00,True,11.4,350.7
2021-01-14 06:02:25+00:00,True,11.6,356.7
2021-01-14 06:12:25+00:00,True,11.6,352.2
2021-01-14 06:22:25+00:00,True,11.5,352.2
