datetime,valid,temperature(C),discharge(L/min)
2022-11-10 23:06:40.023000+00:00,True,5.8,339.6
2022-11-10 23:16:40.023000+00:00,True,5.8,335.8
2022-11-10 23:26:40.023000+00:00,True,5.8,332.5
2022-11-10 23:36:40.023000+00:00,True,5.8,328.5
2022-11-10 23:46:40.023000+00:00,True,5.8,335.0
2022-11-10 23:56:40.023000+00:00,True,5.8,340.7
2022-11-11 00:06:40.023000+00:00,True,5.8,334.5
2022-11-11 00:16:40.023000+00:00,True,5.8,331.6
2022-11-11 00:26:40.023000+00:00,True,5.8,332.7
2022-11-11 00:36:40.023000+00:00,True,5.8,336.9
2022-11-11 00:46:40.023000+00:00,True,5.8,340.2
2022-11-11 00:56:40.023000+00:00,True,5.7,342.2
2022-11-11 01:06:40.023000+00:00,True,5.7,333.4
2022-11-11 01:16:40.023000+00:00,True,5.8,327.4
2022-11-11 01:26:40.023000+00:00,True,5.7,333.8
2022-11-11 01:36:40.023000+00:00,True,5.8,340.7
2022-11-11 01:46:40.023000+00:00,True,5.7,340.6
2022-11-11 01:56:40.023000+00:00,True,5.7,337.1
2022-11-11 02:06:40.023000+00:00,True,5.7,329.9
2022-11-11 02:16:40.023000+00:00,True,5.7,337.4
2022-11-11 02:26:40.023000+00:00,True,5.7,336.9
2022-11-11 02:36:40.023000+00:00,True,5.7,334.9
2022-11-11 02:46:40.023000+00:00,True,5.7,343.3
2022-11-11 02:56:40.023000+00:00,True,5.7,336.5
2022-11-11 03:06:40.023000+00:00,True,5.6,336.7
2022-11-11 03:16:40.023000+00:00,True,5.6,331.6
2022-11-11 03:26:40.023000+00:00,True,5.7,334.9
2022-11-11 03:36:40.023000+00:00,True,5.7,341.5
2022-11-11 03:46:40.023000+00:00,True,5.7,338.7
2022-11-11 03:56:40.023000+00:00,True,5.6,337.6
2022-11-11 04:06:40.023000+00:00,True,5.6,334.5
2022-11-11 04:16:40.023000+00:00,True,5.6,335.6
2022-11-11 04:26:40.023000+00:00,True,5.6,343.1
2022-11-11 04:36:40.023000+00:00,True,5.6,343.0
2022-11-11 04:46:40.023000+00:00,True,5.6,343.9
2022-11-11 04:56:40.023000+00:00,True,5.6,340.2
2022-11-11 05:06:40.023000+00:00,True,5.6,338.0
2022-11-11 05:16:40.023000+00:00,True,5.6,336.5
2022-11-11 05:26:40.023000+00:00,True,5.6,328.5
2022-11-11 05:36:40.023000+00:00,True,5.6,337.2
2022-11-11 05:46:40.023000+00:00,True,5.6,325.8
2022-11-11 05:56:40.023000+00:00,True,5.6,335.0
2022-11-11 06:06:40.023000+00:00,True,5.6,341.1
2022-11-11 06:16:40.023000+00:00,True,5.6,339.8
2022-11-11 06:26:40.023000+00:00,True,5.6,341.1
2022-11-11 06:36:40.023000+00:00,True,5.6,334.1
2022-11-11 06:46:40.023000+00:00,True,5.6,340.6
2022-11-11 06:56:40.023000+00:00,True,5.6,338.9
2022-11-11 07:06:40.023000+00:00,True,5.6,344.2
2022-11-11 07:16:40.023000+00:00,True,5.6,339.8
2022-11-11 07:26:40.023000+00:00,True,5.6,342.8
2022-11-11 07:36:40.023000+00:00,True,5.6,342.2
2022-11-11 07:46:40.023000+00:00,True,5.6,332.7
2022-11-11 07:56:40.023000+00:00,True,5.6,338.7
2022-11-11 08:06:40.023000+00:00,True,5.7,336.7
2022-11-11 08:16:40.023000+00:00,True,5.7,340.0
2022-11-11 08:26:40.023000+00:00,True,5.7,340.4
2022-11-11 08:36:40.023000+00:00,True,5.7,344.4
2022-11-11 08:46:40.023000+00:00,True,5.8,341.7
2022-11-11 08:56:40.023000+00:00,True,5.8,341.5
2022-11-11 09:06:40.023000+00:00,True,5.9,345.2
2022-11-11 09:16:40.023000+00:00,True,5.9,334.5
2022-11-11 09:26:40.023000+00:00,True,6.0,343.1
2022-11-11 09:36:40.023000+00:00,True,6.0,334.5
2022-11-11 09:46:40.023000+00:00,True,6.0,343.9
2022-11-11 09:56:40.023000+00:00,True,6.0,344.8
2022-11-11 10:06:40.023000+00:00,True,6.1,341.3
2022-11-11 10:16:40.023000+00:00,True,6.1,333.8
2022-11-11 10:26:40.023000+00:00,True,6.1,348.1
2022-11-11 10:36:40.023000+00:00,True,6.2,340.2
2022-11-11 10:46:40.023000+00:00,True,6.2,338.0
2022-11-11 10:56:40.023000+00:00,True,6.2,336.5
2022-11-11 11:06:40.023000+00:00,True,6.2,338.5
2022-11-11 11:16:40.023000+00:00,True,6.3,345.0
2022-11-11 11:26:40.023000+00:00,True,6.2,340.4
2022-11-11 11:36:40.023000+00:00,True,6.3,337.8
2022-11-11 11:46:40.023000+00:00,True,6.3,335.2
2022-11-11 11:56:40.023000+00:00,True,6.3,349.6
2022-11-11 12:06:40.023000+00:00,True,6.3,343.0
2022-11-11 12:16:40.023000+00:00,True,6.3,340.2
2022-11-11 12:26:40.023000+00:00,True,6.3,350.2
2022-11-11 12:36:40.023000+00:00,True,6.4,342.8
2022-11-11 12:46:40.023000+00:00,True,6.3,334.5
2022-11-11 12:56:40.023000+00:00,True,6.4,339.3
2022-11-11 13:06:40.023000+00:00,True,6.4,339.1
2022-11-11 13:16:40.023000+00:00,True,6.4,339.6
2022-11-11 13:26:40.023000+00:00,True,6.3,346.1
2022-11-11 13:36:40.023000+00:00,True,6.4,338.0
2022-11-11 13:46:40.023000+00:00,True,6.4,341.3
2022-11-11 13:56:40.023000+00:00,True,6.4,348.1
2022-11-11 14:06:40.023000+00:00,True,6.4,346.5
2022-11-11 14:16:40.023000+00:00,True,6.4,342.4
2022-11-11 14:26:40.023000+00:00,True,6.4,331.2
2022-11-11 14:36:40.023000+00:00,True,6.4,341.8
2022-11-11 14:46:40.023000+00:00,True,6.4,340.4
2022-11-11 14:56:40.023000+00:00,True,6.4,340.7
2022-11-11 15:06:40.023000+00:00,True,6.4,342.6
2022-11-11 15:16:40.023000+00:00,True,6.4,343.0
2022-11-11 15:26:40.023000+00:00,True,6.4,342.8
2022-11-11 15:36:40.023000+00:00,True,6.4,341.7
2022-11-11 15:46:40.023000+00:00,True,6.4,337.6
2022-11-11 15:56:40.023000+00:00,True,6.4,335.8
2022-11-11 16:06:40.023000+00:00,True,6.4,343.1
2022-11-11 16:16:40.023000+00:00,True,6.4,338.0
2022-11-11 16:26:40.023000+00:00,True,6.4,341.7
2022-11-11 16:36:40.023000+00:00,True,6.3,347.0
2022-11-11 16:46:40.023000+00:00,True,6.3,337.2
2022-11-11 16:56:40.023000+00:00,True,6.3,332.7
2022-11-11 17:06:40.023000+00:00,True,6.3,335.0
2022-11-11 17:16:40.023000+00:00,True,6.3,334.7
2022-11-11 17:26:40.023000+00:00,True,6.3,338.3
2022-11-11 17:36:40.023000+00:00,True,6.3,335.0
2022-11-11 17:46:40.023000+00:00,True,6.3,342.0
2022-11-11 17:56:40.023000+00:00,True,6.2,335.4
2022-11-11 18:06:40.023000+00:00,True,6.2,332.8
2022-11-11 18:16:40.023000+00:00,True,6.2,339.8
2022-11-11 18:26:40.023000+00:00,True,6.2,345.0
2022-11-11 18:36:40.023000+00:00,True,6.2,334.5
2022-11-11 18:46:40.023000+00:00,True,6.2,348.7
2022-11-11 18:56:40.023000+00:00,True,6.2,332.7
2022-11-11 19:06:40.023000+00:00,True,6.2,345.2
