datetime,valid,temperature(C),discharge(L/min)
2022-11-02 09:33:59.023000+00:00,True,9.5,33.2
2022-11-02 09:43:59.023000+00:00,True,9.4,32.4
2022-11-02 09:53:59.023000+00:00,True,9.3,32.2
2022-11-02 10:03:59.023000+00:00,True,9.3,31.5
2022-11-02 10:13:59.023000+00:00,True,9.3,32.8
2022-11-02 10:23:59.023000+00:00,True,9.2,31.0
2022-11-02 10:33:59.023000+00:00,True,9.2,32.0
2022-11-02 10:43:59.023000+00:00,True,9.2,32.3
2022-11-02 10:53:59.023000+00:00,True,9.2,31.8
2022-11-02 11:03:59.023000+00:00,True,9.2,31.0
2022-11-02 11:13:59.023000+00:00,True,9.2,30.9
2022-11-02 11:23:59.023000+00:00,True,9.2,29.6
2022-11-02 11:33:59.023000+00:00,True,9.2,31.8
2022-11-02 11:43:59.023000+00:00,True,9.2,31.4
2022-11-02 11:53:59.023000+00:00,True,9.2,31.7
2022-11-02 12:03:59.023000+00:00,True,9.3,33.5
2022-11-02 12:13:59.023000+00:00,True,9.1,32.2
2022-11-02 12:23:59.023000+00:00,True,9.2,30.5
2022-11-02 12:33:59.023000+00:00,True,9.2,31.5
2022-11-02 12:43:59.023000+00:00,True,9.2,31.8
2022-11-02 12:53:59.023000+00:00,True,9.2,32.8
2022-11-02 13:03:59.023000+00:00,True,9.2,32.3
2022-11-02 13:13:59.023000+00:00,True,9.2,32.5
2022-11-02 13:23:59.023000+00:00,True,9.2,31.4
2022-11-02 13:33:59.023000+00:00,True,9.2,31.4
2022-11-02 13:43:59.023000+00:00,True,9.2,32.8
2022-11-02 13:53:59.023000+00:00,True,9.2,32.4
2022-11-02 14:03:59.023000+00:00,True,9.2,33.3
2022-11-02 14:13:59.023000+00:00,True,9.2,33.0
2022-11-02 14:23:59.023000+00:00,True,9.2,32.6
2022-11-02 14:33:59.023000+00:00,True,9.2,32.2
2022-11-02 14:43:59.023000+00:00,True,9.2,33.7
2022-11-02 14:53:59.023000+00:00,True,9.2,32.8
2022-11-02 15:03:59.023000+00:00,True,9.2,32.7
2022-11-02 15:13:59.023000+00:00,True,9.2,32.7
2022-11-02 15:23:59.023000+00:00,True,9.2,32.5
2022-11-02 15:33:59.023000+00:00,True,9.2,33.5
2022-11-02 15:43:59.023000+00:00,True,9.2,30.9
2022-11-02 15:53:59.023000+00:00,True,9.2,30.7
2022-11-02 16:03:59.023000+00:00,True,9.2,33.9
2022-11-02 16:13:59.023000+00:00,True,9.2,33.0
2022-11-02 16:23:59.023000+00:00,True,9.1,32.5
2022-11-02 16:33:59.023000+00:00,True,9.2,31.2
2022-11-02 16:43:59.023000+00:00,True,9.2,32.4
2022-11-02 16:53:59.023000+00:00,True,9.1,32.3
2022-11-02 17:03:59.023000+00:00,True,9.1,32.8
2022-11-02 17:13:59.023000+00:00,True,9.1,32.2
2022-11-02 17:23:59.023000+00:00,True,9.1,32.1
2022-11-02 17:33:59.023000+00:00,True,9.1,33.3
2022-11-02 17:43:59.023000+00:00,True,9.1,32.0
2022-11-02 17:53:59.023000+00:00,True,9.1,32.8
2022-11-02 18:03:59.023000+00:00,True,9.1,32.9
2022-11-02 18:13:59.023000+00:00,True,9.1,32.6
2022-11-02 18:23:59.023000+00:00,True,9.1,30.7
2022-11-02 18:33:59.023000+00:00,True,9.1,31.3
2022-11-02 18:43:59.023000+00:00,True,9.1,33.1
2022-11-02 18:53:59.023000+00:00,True,9.1,30.1
2022-11-02 19:03:59.023000+00:00,True,9.1,32.7
2022-11-02 19:13:59.023000+00:00,True,9.1,32.1
2022-11-02 19:23:59.023000+00:00,True,9.1,30.2
2022-11-02 19:33:59.023000+00:00,True,9.1,32.2
2022-11-02 19:43:59.023000+00:00,True,9.1,32.2
2022-11-02 19:53:59.023000+00:00,True,9.1,30.7
2022-11-02 20:03:59.023000+00:00,True,9.1,33.2
2022-11-02 20:13:59.023000+00:00,True,9.1,32.6
2022-11-02 20:23:59.023000+00:00,True,9.1,32.4
2022-11-02 20:33:59.023000+00:00,True,9.1,32.5
2022-11-02 20:43:59.023000+00:00,True,9.1,32.1
2022-11-02 20:53:59.023000+00:00,True,9.1,32.4
2022-11-02 21:03:59.023000+00:00,True,9.1,32.7
2022-11-02 21:13:59.023000+00:00,True,9.2,32.5
2022-11-02 21:23:59.023000+00:00,True,9.1,32.5
2022-11-02 21:33:59.023000+00:00,True,9.1,31.7
2022-11-02 21:43:59.023000+00:00,True,9.1,33.1
2022-11-02 21:53:59.023000+00:00,True,9.1,33.0
2022-11-02 22:03:59.023000+00:00,True,9.1,31.2
2022-11-02 22:13:59.023000+00:00,True,9.1,32.4
2022-11-02 22:23:59.023000+00:00,True,9.1,33.3
2022-11-02 22:33:59.023000+00:00,True,9.1,32.7
2022-11-02 22:43:59.023000+00:00,True,9.1,32.8
2022-11-02 22:53:59.023000+00:00,True,9.0,32.1
2022-11-02 23:03:59.023000+00:00,True,9.0,32.0
2022-11-02 23:13:59.023000+00:00,True,9.1,32.7
2022-11-02 23:23:59.023000+00:00,True,9.0,30.4
2022-11-02 23:33:59.023000+00:00,True,9.0,33.0
2022-11-02 23:43:59.023000+00:00,True,9.0,31.6
