datetime,valid,temperature(C),discharge(L/min)
2022-11-02 07:30:47.292000+00:00,False,16.6,0.0
2022-11-02 07:34:33.023000+00:00,False,17.2,0.0
2022-11-02 07:44:33.023000+00:00,False,13.2,88.3
2022-11-02 07:54:33.023000+00:00,False,11.5,0.0
2022-11-02 08:04:33.023000+00:00,False,9.6,130.8
2022-11-02 08:14:33.023000+00:00,False,9.6,0.0
2022-11-02 08:24:33.023000+00:00,True,9.6,84.4
2022-11-02 08:34:33.023000+00:00,True,9.5,70.6
2022-11-02 08:44:33.023000+00:00,True,9.5,82.0
2022-11-02 08:54:33.023000+00:00,True,9.5,80.7
2022-11-02 09:04:33.023000+00:00,True,9.4,79.7
2022-11-02 09:14:33.023000+00:00,True,9.4,74.6
2022-11-02 09:24:33.023000+00:00,True,9.4,83.0
2022-11-02 09:34:33.023000+00:00,True,9.4,79.5
2022-11-02 09:44:33.023000+00:00,True,9.4,78.6
2022-11-02 09:54:33.023000+00:00,True,9.4,77.6
2022-11-02 10:04:33.023000+00:00,True,9.4,77.5
2022-11-02 10:14:33.023000+00:00,True,9.5,75.0
2022-11-02 10:24:33.023000+00:00,True,9.4,76.3
2022-11-02 10:34:33.023000+00:00,True,9.4,79.4
2022-11-02 10:44:33.023000+00:00,True,9.4,72.8
2022-11-02 10:54:33.023000+00:00,True,9.4,73.5
2022-11-02 11:04:33.023000+00:00,True,9.4,72.3
2022-11-02 11:14:33.023000+00:00,True,9.4,74.0
2022-11-02 11:24:33.023000+00:00,True,9.5,73.7
2022-11-02 11:34:33.023000+00:00,True,9.5,73.9
2022-11-02 11:44:33.023000+00:00,True,9.5,72.1
2022-11-02 11:54:33.023000+00:00,True,9.4,70.6
2022-11-02 12:04:33.023000+00:00,True,9.4,74.2
2022-11-02 12:14:33.023000+00:00,True,9.4,71.0
2022-11-02 12:24:33.023000+00:00,True,9.5,73.0
2022-11-02 12:34:33.023000+00:00,True,9.4,72.1
2022-11-02 12:44:33.023000+00:00,True,9.4,71.4
2022-11-02 12:54:33.023000+00:00,True,9.4,69.9
2022-11-02 13:04:33.023000+00:00,True,9.5,70.1
2022-11-02 13:14:33.023000+00:00,True,9.4,69.9
2022-11-02 13:24:33.023000+00:00,True,9.4,67.5
2022-11-02 13:34:33.023000+00:00,True,9.4,69.7
2022-11-02 13:44:33.023000+00:00,True,9.4,69.0
2022-11-02 13:54:33.023000+00:00,True,9.4,71.4
2022-11-02 14:04:33.023000+00:00,True,9.5,68.5
2022-11-02 14:14:33.023000+00:00,True,9.4,66.3
2022-11-02 14:24:33.023000+00:00,True,9.5,66.8
2022-11-02 14:34:33.023000+00:00,True,9.4,69.8
2022-11-02 14:44:33.023000+00:00,True,9.4,66.4
2022-11-02 14:54:33.023000+00:00,True,9.4,65.3
2022-11-02 15:04:33.023000+00:00,True,9.5,66.5
2022-11-02 15:14:33.023000+00:00,True,9.4,67.9
2022-11-02 15:24:33.023000+00:00,True,9.4,63.0
2022-11-02 15:34:33.023000+00:00,True,9.5,63.9
2022-11-02 15:44:33.023000+00:00,True,9.4,62.1
