datetime,valid,temperature(C),discharge(L/min)
2023-01-11 10:35:20.277000+00:00,False,18.0,0.0
2023-01-11 10:42:47.023000+00:00,False,14.1,0.0
2023-01-11 10:52:47.023000+00:00,False,11.9,0.0
2023-01-11 11:02:47.023000+00:00,False,10.8,0.0
2023-01-11 11:12:47.023000+00:00,False,10.2,0.0
2023-01-11 11:22:47.023000+00:00,False,9.9,0.0
2023-01-11 11:32:47.023000+00:00,False,9.7,0.0
2023-01-11 11:42:47.023000+00:00,False,9.5,0.0
2023-01-11 11:52:47.023000+00:00,False,9.4,503.2
2023-01-11 12:02:47.023000+00:00,False,9.4,512.3
2023-01-11 12:12:47.023000+00:00,False,9.3,490.6
2023-01-11 12:22:47.023000+00:00,False,9.2,497.8
2023-01-11 12:32:47.023000+00:00,False,9.1,491.4
2023-01-11 12:42:47.023000+00:00,False,9.1,490.4
2023-01-11 12:52:47.023000+00:00,False,9.1,496.1
2023-01-11 13:02:47.023000+00:00,False,9.0,492.7
2023-01-11 13:12:47.023000+00:00,False,8.9,490.6
2023-01-11 13:22:47.023000+00:00,False,9.0,494.6
2023-01-11 13:32:47.023000+00:00,False,9.0,496.5
2023-01-11 13:42:47.023000+00:00,False,8.9,497.2
2023-01-11 13:52:47.023000+00:00,False,8.9,499.5
2023-01-11 14:02:47.023000+00:00,True,8.9,494.2
2023-01-11 14:12:47.023000+00:00,True,8.9,501.9
2023-01-11 14:22:47.023000+00:00,True,8.9,490.8
2023-01-11 14:32:47.023000+00:00,True,8.9,498.7
2023-01-11 14:42:47.023000+00:00,True,8.9,487.4
2023-01-11 14:52:47.023000+00:00,True,8.9,482.5
2023-01-11 15:02:47.023000+00:00,True,8.9,497.2
2023-01-11 15:12:47.023000+00:00,True,8.9,497.2
2023-01-11 15:22:47.023000+00:00,True,8.9,493.8
2023-01-11 15:32:47.023000+00:00,True,8.9,490.2
2023-01-11 15:42:47.023000+00:00,True,8.9,481.5
2023-01-11 15:52:47.023000+00:00,True,8.9,488.7
2023-01-11 16:02:47.023000+00:00,True,8.9,481.3
2023-01-11 16:12:47.023000+00:00,True,8.9,504.3
2023-01-11 16:22:47.023000+00:00,True,8.9,485.9
2023-01-11 16:32:47.023000+00:00,True,8.9,487.2
2023-01-11 16:42:47.023000+00:00,True,8.9,500.4
2023-01-11 16:52:47.023000+00:00,True,8.9,483.4
2023-01-11 17:02:47.023000+00:00,True,8.9,490.4
2023-01-11 17:12:47.023000+00:00,True,8.9,484.9
2023-01-11 17:22:47.023000+00:00,True,8.9,475.8
2023-01-11 17:32:47.023000+00:00,True,8.9,487.6
2023-01-11 17:42:47.023000+00:00,True,8.9,486.1
2023-01-11 17:52:47.023000+00:00,True,8.9,495.9
2023-01-11 18:02:47.023000+00:00,True,8.9,463.9
2023-01-11 18:12:47.023000+00:00,True,8.9,488.5
2023-01-11 18:22:47.023000+00:00,True,8.9,482.7
2023-01-11 18:32:47.023000+00:00,True,8.9,493.1
2023-01-11 18:42:47.023000+00:00,True,8.9,499.8
2023-01-11 18:52:47.023000+00:00,True,8.9,502.5
2023-01-11 19:02:47.023000+00:00,True,8.8,467.4
2023-01-11 19:12:47.023000+00:00,True,8.9,493.1
2023-01-11 19:22:47.023000+00:00,True,8.9,500.6
2023-01-11 19:32:47.023000+00:00,True,8.8,496.8
2023-01-11 19:42:47.023000+00:00,True,8.8,484.6
2023-01-11 19:52:47.023000+00:00,True,8.9,487.0
2023-01-11 20:02:47.023000+00:00,True,8.8,488.7
2023-01-11 20:12:47.023000+00:00,True,8.8,490.2
2023-01-11 20:22:47.023000+00:00,True,8.8,504.5
2023-01-11 20:32:47.023000+00:00,True,8.7,491.2
2023-01-11 20:42:47.023000+00:00,True,8.8,498.7
2023-01-11 20:52:47.023000+00:00,True,8.7,491.2
2023-01-11 21:02:47.023000+00:00,True,8.7,495.5
2023-01-11 21:12:47.023000+00:00,True,8.8,500.8
2023-01-11 21:22:47.023000+00:00,True,8.7,479.2
2023-01-11 21:32:47.023000+00:00,True,8.7,501.0
2023-01-11 21:42:47.023000+00:00,True,8.7,497.2
2023-01-11 21:52:47.023000+00:00,True,8.7,491.6
2023-01-11 22:02:47.023000+00:00,True,8.7,495.9
2023-01-11 22:12:47.023000+00:00,True,8.7,479.4
2023-01-11 22:22:47.023000+00:00,True,8.7,488.5
2023-01-11 22:32:47.023000+00:00,True,8.8,495.5
2023-01-11 22:42:47.023000+00:00,True,8.7,491.0
2023-01-11 22:52:47.023000+00:00,True,8.7,493.6
2023-01-11 23:02:47.023000+00:00,True,8.7,503.4
2023-01-11 23:12:47.023000+00:00,True,8.8,496.1
2023-01-11 23:22:47.023000+00:00,True,8.7,503.4
2023-01-11 23:32:47.023000+00:00,True,8.7,502.1
2023-01-11 23:42:47.023000+00:00,True,8.7,490.2
2023-01-11 23:52:47.023000+00:00,True,8.6,486.5
2023-01-12 00:02:47.023000+00:00,True,8.6,496.8
2023-01-12 00:12:47.023000+00:00,True,8.6,491.9
2023-01-12 00:22:47.023000+00:00,True,8.6,501.9
2023-01-12 00:32:47.023000+00:00,True,8.6,494.6
2023-01-12 00:42:47.023000+00:00,True,8.7,490.2
2023-01-12 00:52:47.023000+00:00,True,8.6,488.2
2023-01-12 01:02:47.023000+00:00,True,8.6,487.6
2023-01-12 01:12:47.023000+00:00,True,8.6,482.7
2023-01-12 01:22:47.023000+00:00,True,8.6,497.6
2023-01-12 01:32:47.023000+00:00,True,8.6,480.0
2023-01-12 01:42:47.023000+00:00,True,8.6,493.1
2023-01-12 01:52:47.023000+00:00,True,8.6,491.0
2023-01-12 02:02:47.023000+00:00,True,8.5,483.0
2023-01-12 02:12:47.023000+00:00,True,8.6,488.2
2023-01-12 02:22:47.023000+00:00,True,8.6,482.5
2023-01-12 02:32:47.023000+00:00,True,8.6,473.9
2023-01-12 02:42:47.023000+00:00,True,8.5,478.7
2023-01-12 02:52:47.023000+00:00,True,8.5,491.6
2023-01-12 03:02:47.023000+00:00,True,8.4,497.0
2023-01-12 03:12:47.023000+00:00,True,8.5,496.5
2023-01-12 03:22:47.023000+00:00,True,8.4,492.7
2023-01-12 03:32:47.023000+00:00,True,8.5,499.5
2023-01-12 03:42:47.023000+00:00,True,8.5,493.3
2023-01-12 03:52:47.023000+00:00,True,8.4,484.4
2023-01-12 04:02:47.023000+00:00,True,8.4,488.9
2023-01-12 04:12:47.023000+00:00,True,8.4,477.1
2023-01-12 04:22:47.023000+00:00,True,8.5,484.9
2023-01-12 04:32:47.023000+00:00,True,8.3,482.3
2023-01-12 04:42:47.023000+00:00,True,8.3,498.7
2023-01-12 04:52:47.023000+00:00,True,8.4,490.8
2023-01-12 05:02:47.023000+00:00,True,8.4,495.3
2023-01-12 05:12:47.023000+00:00,True,8.4,498.9
2023-01-12 05:22:47.023000+00:00,True,8.4,492.1
2023-01-12 05:32:47.023000+00:00,True,8.4,475.4
2023-01-12 05:42:47.023000+00:00,True,8.4,480.4
2023-01-12 05:52:47.023000+00:00,True,8.4,491.9
2023-01-12 06:02:47.023000+00:00,True,8.4,476.0
2023-01-12 06:12:47.023000+00:00,True,8.4,489.9
2023-01-12 06:22:47.023000+00:00,True,8.5,490.6
2023-01-12 06:32:47.023000+00:00,True,8.4,501.9
2023-01-12 06:42:47.023000+00:00,True,8.4,503.2
2023-01-12 06:52:47.023000+00:00,True,8.4,494.2
2023-01-12 07:02:47.023000+00:00,True,8.5,501.3
2023-01-12 07:12:47.023000+00:00,True,8.4,506.6
2023-01-12 07:22:47.023000+00:00,True,8.4,488.2
2023-01-12 07:32:47.023000+00:00,True,8.4,502.5
2023-01-12 07:42:47.023000+00:00,True,8.4,476.4
2023-01-12 07:52:47.023000+00:00,True,8.4,506.6
2023-01-12 08:02:47.023000+00:00,True,8.4,489.3
2023-01-12 08:12:47.023000+00:00,True,8.4,501.3
2023-01-12 08:22:47.023000+00:00,True,8.4,509.7
2023-01-12 08:32:47.023000+00:00,True,8.4,497.0
2023-01-12 08:42:47.023000+00:00,True,8.4,484.4
2023-01-12 08:52:47.023000+00:00,True,8.5,488.5
2023-01-12 09:02:47.023000+00:00,True,8.5,509.4
2023-01-12 09:12:47.023000+00:00,True,8.5,488.2
2023-01-12 09:22:47.023000+00:00,True,8.5,509.7
2023-01-12 09:32:47.023000+00:00,True,8.5,499.5
2023-01-12 09:42:47.023000+00:00,True,8.6,500.0
2023-01-12 09:52:47.023000+00:00,True,8.5,491.2
2023-01-12 10:02:47.023000+00:00,True,8.6,503.4
2023-01-12 10:12:47.023000+00:00,True,8.5,483.2
2023-01-12 10:22:47.023000+00:00,True,8.6,501.9
2023-01-12 10:32:47.023000+00:00,True,8.6,496.5
2023-01-12 10:42:47.023000+00:00,True,8.7,496.8
2023-01-12 10:52:47.023000+00:00,True,8.6,500.4
2023-01-12 11:02:47.023000+00:00,True,8.6,492.9
2023-01-12 11:12:47.023000+00:00,True,8.7,503.4
2023-01-12 11:22:47.023000+00:00,True,8.7,486.5
2023-01-12 11:32:47.023000+00:00,True,8.7,500.6
2023-01-12 11:42:47.023000+00:00,True,8.7,501.5
2023-01-12 11:52:47.023000+00:00,True,8.7,502.3
2023-01-12 12:02:47.023000+00:00,True,8.8,496.3
2023-01-12 12:12:47.023000+00:00,True,8.8,502.5
2023-01-12 12:22:47.023000+00:00,True,8.8,497.6
2023-01-12 12:32:47.023000+00:00,True,8.8,509.0
2023-01-12 12:42:47.023000+00:00,True,8.7,502.8
2023-01-12 12:52:47.023000+00:00,True,8.8,504.9
2023-01-12 13:02:47.023000+00:00,True,8.8,496.1
2023-01-12 13:12:47.023000+00:00,True,8.8,504.9
2023-01-12 13:22:47.023000+00:00,True,8.8,514.4
2023-01-12 13:32:47.023000+00:00,True,8.8,493.1
2023-01-12 13:42:47.023000+00:00,True,8.8,504.5
2023-01-12 13:52:47.023000+00:00,True,8.8,498.7
2023-01-12 14:02:47.023000+00:00,True,8.9,500.4
2023-01-12 14:12:47.023000+00:00,True,8.9,512.5
2023-01-12 14:22:47.023000+00:00,True,8.8,503.6
2023-01-12 14:32:47.023000+00:00,True,8.8,487.2
2023-01-12 14:42:47.023000+00:00,True,8.8,514.4
2023-01-12 14:52:47.023000+00:00,True,8.8,506.0
2023-01-12 15:02:47.023000+00:00,True,8.8,501.7
2023-01-12 15:12:47.023000+00:00,True,8.8,507.5
2023-01-12 15:22:47.023000+00:00,True,8.8,493.8
2023-01-12 15:32:47.023000+00:00,True,8.8,490.6
2023-01-12 15:42:47.023000+00:00,True,8.7,508.8
2023-01-12 15:52:47.023000+00:00,True,8.8,496.8
2023-01-12 16:02:47.023000+00:00,True,8.7,496.1
2023-01-12 16:12:47.023000+00:00,True,8.7,505.1
2023-01-12 16:22:47.023000+00:00,True,8.7,499.1
2023-01-12 16:32:47.023000+00:00,True,8.7,499.3
2023-01-12 16:42:47.023000+00:00,True,8.7,502.8
2023-01-12 16:52:47.023000+00:00,True,8.7,490.4
