datetime,valid,temperature(C),discharge(L/min)
2022-08-30 10:31:49.464000+00:00,False,26.3,0.0
2022-08-30 13:49:29.750000+00:00,False,27.7,0.0
2022-08-30 13:50:32.023000+00:00,False,27.7,0.0
2022-08-30 14:00:32.023000+00:00,False,27.7,0.0
2022-08-30 14:10:32.023000+00:00,False,27.7,0.0
2022-08-30 14:20:32.023000+00:00,False,27.5,0.0
2022-08-30 14:30:32.023000+00:00,False,27.3,0.0
2022-08-30 14:40:32.023000+00:00,False,27.2,0.0
2022-08-30 14:50:32.023000+00:00,False,27.1,0.0
2022-08-30 15:00:32.023000+00:00,False,27.0,0.0
2022-08-30 15:10:32.023000+00:00,False,26.9,0.0
2022-08-30 15:20:32.023000+00:00,False,26.9,0.0
2022-08-30 15:30:32.023000+00:00,False,26.8,0.0
2022-08-30 15:40:32.023000+00:00,False,26.9,0.0
2022-08-30 15:50:32.023000+00:00,False,27.0,0.0
2022-08-30 16:00:32.023000+00:00,False,27.1,0.0
2022-08-30 16:10:32.023000+00:00,False,27.1,0.0
2022-08-30 16:20:32.023000+00:00,False,27.1,0.0
2022-08-30 16:30:32.023000+00:00,False,27.1,0.0
2022-08-30 16:40:32.023000+00:00,False,27.2,0.0
2022-08-30 16:50:32.023000+00:00,False,27.2,0.0
2022-08-30 17:00:32.023000+00:00,False,27.2,0.0
2022-08-30 17:10:32.023000+00:00,False,27.2,0.0
2022-08-30 17:20:32.023000+00:00,False,27.2,0.0
2022-08-30 17:30:32.023000+00:00,False,27.2,0.0
2022-08-30 17:40:32.023000+00:00,False,27.2,0.0
2022-08-30 17:50:32.023000+00:00,False,27.1,0.0
2022-08-30 18:00:32.023000+00:00,False,27.0,0.0
2022-08-30 18:10:32.023000+00:00,False,26.8,0.0
2022-08-30 18:20:32.023000+00:00,False,26.7,0.0
2022-08-30 18:30:32.023000+00:00,False,26.6,0.0
2022-08-30 18:40:32.023000+00:00,False,26.4,0.0
2022-08-30 18:50:32.023000+00:00,False,26.4,0.0
2022-08-30 19:00:32.023000+00:00,False,26.2,0.0
2022-08-30 19:10:32.023000+00:00,False,26.1,0.0
2022-08-30 19:20:32.023000+00:00,False,26.0,0.0
2022-08-30 19:30:32.023000+00:00,False,26.0,0.0
2022-08-30 19:40:32.023000+00:00,False,25.9,0.0
2022-08-30 19:50:32.023000+00:00,False,25.8,0.0
2022-08-30 20:00:32.023000+00:00,False,25.7,0.0
2022-08-30 20:10:32.023000+00:00,False,25.6,0.0
2022-08-30 20:20:32.023000+00:00,False,25.6,0.0
2022-08-30 20:30:32.023000+00:00,False,25.5,0.0
2022-08-30 20:40:32.023000+00:00,False,25.4,0.0
2022-08-30 20:50:32.023000+00:00,False,25.3,0.0
2022-08-30 21:00:32.023000+00:00,False,25.3,0.0
2022-08-30 21:10:32.023000+00:00,False,25.2,0.0
2022-08-30 21:20:32.023000+00:00,False,25.2,0.0
2022-08-30 21:30:32.023000+00:00,False,25.1,0.0
2022-08-30 21:40:32.023000+00:00,False,24.9,0.0
2022-08-30 21:50:32.023000+00:00,False,24.9,0.0
2022-08-30 22:00:32.023000+00:00,False,24.8,0.0
2022-08-30 22:10:32.023000+00:00,False,24.8,0.0
2022-08-30 22:20:32.023000+00:00,False,24.7,0.0
2022-08-30 22:30:32.023000+00:00,False,24.6,0.0
2022-08-30 22:40:32.023000+00:00,False,24.6,0.0
2022-08-30 22:50:32.023000+00:00,False,24.5,0.0
2022-08-30 23:00:32.023000+00:00,False,24.4,0.0
2022-08-30 23:10:32.023000+00:00,False,24.4,0.0
2022-08-30 23:20:32.023000+00:00,False,24.3,0.0
2022-08-30 23:30:32.023000+00:00,False,24.3,0.0
2022-08-30 23:40:32.023000+00:00,False,24.2,0.0
2022-08-30 23:50:32.023000+00:00,False,24.2,0.0
2022-08-31 00:00:32.023000+00:00,False,24.1,0.0
2022-08-31 00:10:32.023000+00:00,False,24.1,0.0
2022-08-31 00:20:32.023000+00:00,False,24.0,0.0
2022-08-31 00:30:32.023000+00:00,False,24.0,0.0
2022-08-31 00:40:32.023000+00:00,False,23.9,0.0
2022-08-31 00:50:32.023000+00:00,False,23.8,0.0
2022-08-31 01:00:32.023000+00:00,False,23.8,0.0
2022-08-31 01:10:32.023000+00:00,False,23.7,0.0
2022-08-31 01:20:32.023000+00:00,False,23.7,0.0
2022-08-31 01:30:32.023000+00:00,False,23.7,0.0
2022-08-31 01:40:32.023000+00:00,False,23.6,0.0
2022-08-31 01:50:32.023000+00:00,False,23.6,0.0
2022-08-31 02:00:32.023000+00:00,False,23.6,0.0
2022-08-31 02:10:32.023000+00:00,False,23.5,0.0
2022-08-31 02:20:32.023000+00:00,False,23.5,0.0
2022-08-31 02:30:32.023000+00:00,False,23.5,0.0
2022-08-31 02:40:32.023000+00:00,False,23.4,0.0
