datetime,valid,temperature(C),discharge(L/min)
2022-11-10 09:20:49.804000+00:00,False,12.0,0.0
2022-11-10 09:22:14.023000+00:00,False,14.3,0.0
2022-11-10 09:32:14.023000+00:00,False,10.9,0.0
2022-11-10 09:42:14.023000+00:00,False,10.9,149.2
2022-11-10 09:52:14.023000+00:00,False,8.5,125.6
2022-11-10 10:02:14.023000+00:00,False,8.2,163.7
2022-11-10 10:12:14.023000+00:00,False,8.0,168.8
2022-11-10 10:22:14.023000+00:00,False,7.9,165.9
2022-11-10 10:32:14.023000+00:00,False,7.8,170.7
2022-11-10 10:42:14.023000+00:00,False,7.7,168.9
2022-11-10 10:52:14.023000+00:00,False,7.6,176.0
2022-11-10 11:02:14.023000+00:00,False,7.6,180.4
2022-11-10 11:12:14.023000+00:00,False,7.5,176.5
2022-11-10 11:22:14.023000+00:00,False,7.5,172.5
2022-11-10 11:32:14.023000+00:00,False,7.4,180.4
2022-11-10 11:42:14.023000+00:00,False,7.4,178.1
2022-11-10 11:52:14.023000+00:00,False,7.4,180.9
2022-11-10 12:02:14.023000+00:00,False,7.3,177.3
2022-11-10 12:12:14.023000+00:00,False,7.4,182.5
2022-11-10 12:22:14.023000+00:00,False,7.3,183.1
2022-11-10 12:32:14.023000+00:00,False,7.3,185.8
2022-11-10 12:42:14.023000+00:00,False,7.3,185.4
2022-11-10 12:52:14.023000+00:00,False,7.3,185.9
2022-11-10 13:02:14.023000+00:00,False,7.3,187.2
2022-11-10 13:12:14.023000+00:00,False,7.3,180.4
2022-11-10 13:22:14.023000+00:00,False,7.3,189.8
2022-11-10 13:32:14.023000+00:00,False,7.2,188.5
2022-11-10 13:42:14.023000+00:00,False,7.2,195.1
2022-11-10 13:52:14.023000+00:00,False,7.2,187.2
2022-11-10 14:02:14.023000+00:00,False,7.2,188.7
2022-11-10 14:12:14.023000+00:00,False,7.2,188.5
2022-11-10 14:22:14.023000+00:00,False,7.2,189.6
2022-11-10 14:32:14.023000+00:00,False,7.2,190.8
2022-11-10 14:42:14.023000+00:00,False,7.3,192.2
2022-11-10 14:52:14.023000+00:00,False,7.2,187.1
2022-11-10 15:02:14.023000+00:00,False,7.2,198.2
2022-11-10 15:12:14.023000+00:00,False,7.2,191.6
2022-11-10 15:22:14.023000+00:00,False,7.2,191.9
2022-11-10 15:32:14.023000+00:00,False,7.2,195.0
2022-11-10 15:42:14.023000+00:00,False,7.2,192.7
2022-11-10 15:52:14.023000+00:00,False,7.1,190.4
2022-11-10 16:02:14.023000+00:00,False,7.2,196.3
2022-11-10 16:12:14.023000+00:00,False,7.1,195.2
2022-11-10 16:22:14.023000+00:00,False,7.1,202.9
2022-11-10 16:32:14.023000+00:00,False,7.1,201.1
2022-11-10 16:42:14.023000+00:00,False,7.1,196.8
2022-11-10 16:52:14.023000+00:00,False,7.1,199.6
2022-11-10 17:02:14.023000+00:00,False,7.1,199.1
2022-11-10 17:12:14.023000+00:00,False,7.1,196.1
2022-11-10 17:22:14.023000+00:00,False,7.1,191.7
2022-11-10 17:32:14.023000+00:00,False,7.1,197.2
2022-11-10 17:42:14.023000+00:00,False,7.0,192.8
2022-11-10 17:52:14.023000+00:00,False,7.0,202.7
2022-11-10 18:02:14.023000+00:00,False,7.0,204.3
2022-11-10 18:12:14.023000+00:00,False,7.0,201.0
2022-11-10 18:22:14.023000+00:00,False,7.0,194.9
2022-11-10 18:32:14.023000+00:00,False,7.0,194.1
2022-11-10 18:42:14.023000+00:00,False,7.0,197.1
2022-11-10 18:52:14.023000+00:00,False,7.0,204.9
2022-11-10 19:02:14.023000+00:00,False,7.0,194.9
2022-11-10 19:12:14.023000+00:00,False,7.0,205.2
2022-11-10 19:22:14.023000+00:00,False,7.0,195.4
2022-11-10 19:32:14.023000+00:00,False,7.0,201.6
2022-11-10 19:42:14.023000+00:00,False,6.9,196.9
2022-11-10 19:52:14.023000+00:00,False,7.0,205.2
2022-11-10 20:02:14.023000+00:00,False,6.9,195.0
2022-11-10 20:12:14.023000+00:00,False,6.9,206.7
2022-11-10 20:22:14.023000+00:00,False,7.0,198.3
2022-11-10 20:32:14.023000+00:00,False,7.0,193.7
2022-11-10 20:42:14.023000+00:00,False,6.9,192.9
2022-11-10 20:52:14.023000+00:00,False,6.9,191.9
2022-11-10 21:02:14.023000+00:00,False,6.9,199.1
2022-11-10 21:12:14.023000+00:00,False,6.9,192.9
2022-11-10 21:22:14.023000+00:00,False,6.9,199.1
2022-11-10 21:32:14.023000+00:00,False,6.9,202.2
2022-11-10 21:42:14.023000+00:00,False,6.9,201.3
2022-11-10 21:52:14.023000+00:00,False,6.9,197.2
2022-11-10 22:02:14.023000+00:00,False,6.9,203.7
2022-11-10 22:12:14.023000+00:00,False,6.9,204.0
2022-11-10 22:22:14.023000+00:00,False,6.9,196.9
2022-11-10 22:32:14.023000+00:00,False,6.9,197.5
2022-11-10 22:42:14.023000+00:00,False,6.9,192.8
2022-11-10 22:52:14.023000+00:00,False,6.8,195.0
2022-11-10 23:02:14.023000+00:00,True,6.9,191.1
2022-11-10 23:12:14.023000+00:00,True,6.9,194.5
2022-11-10 23:22:14.023000+00:00,True,6.9,198.4
