datetime,valid,temperature(C),discharge(L/min)
2022-11-10 12:47:50.570000+00:00,False,11.9,0.0
2022-11-10 12:54:05.023000+00:00,False,8.7,0.0
2022-11-10 13:04:05.023000+00:00,False,6.0,0.0
2022-11-10 13:14:05.023000+00:00,False,4.8,0.0
2022-11-10 13:24:05.023000+00:00,False,4.1,0.0
2022-11-10 13:34:05.023000+00:00,False,3.7,0.0
2022-11-10 13:44:05.023000+00:00,False,3.4,0.0
2022-11-10 13:54:05.023000+00:00,False,3.2,0.0
2022-11-10 14:04:05.023000+00:00,False,3.1,0.0
2022-11-10 14:14:05.023000+00:00,False,3.1,0.0
2022-11-10 14:24:05.023000+00:00,False,3.1,0.0
2022-11-10 14:34:05.023000+00:00,False,3.1,0.0
2022-11-10 14:44:05.023000+00:00,False,3.1,0.0
2022-11-10 14:54:05.023000+00:00,False,3.0,0.0
2022-11-10 15:04:05.023000+00:00,False,2.9,0.0
2022-11-10 15:14:05.023000+00:00,False,2.9,0.0
2022-11-10 15:24:05.023000+00:00,False,2.8,0.0
2022-11-10 15:34:05.023000+00:00,False,2.7,0.0
2022-11-10 15:44:05.023000+00:00,False,2.6,0.0
2022-11-10 15:54:05.023000+00:00,False,2.6,0.0
2022-11-10 16:04:05.023000+00:00,False,2.6,0.0
2022-11-10 16:14:05.023000+00:00,False,2.7,0.0
2022-11-10 16:24:05.023000+00:00,False,2.7,0.0
2022-11-10 16:34:05.023000+00:00,False,2.7,0.0
2022-11-10 16:44:05.023000+00:00,False,2.7,0.0
2022-11-10 16:54:05.023000+00:00,False,2.8,0.0
2022-11-10 17:04:05.023000+00:00,False,2.8,0.0
2022-11-10 17:14:05.023000+00:00,False,2.9,0.0
2022-11-10 17:24:05.023000+00:00,False,2.9,0.0
2022-11-10 17:34:05.023000+00:00,False,2.9,0.0
2022-11-10 17:44:05.023000+00:00,False,2.9,0.0
2022-11-10 17:54:05.023000+00:00,False,2.9,0.0
2022-11-10 18:04:05.023000+00:00,False,2.9,0.0
2022-11-10 18:14:05.023000+00:00,False,2.9,0.0
2022-11-10 18:24:05.023000+00:00,False,2.9,0.0
2022-11-10 18:34:05.023000+00:00,False,2.9,0.0
2022-11-10 18:44:05.023000+00:00,False,2.9,0.0
2022-11-10 18:54:05.023000+00:00,False,2.9,0.0
2022-11-10 19:04:05.023000+00:00,False,2.9,0.0
2022-11-10 19:14:05.023000+00:00,False,2.9,0.0
2022-11-10 19:24:05.023000+00:00,False,2.9,0.0
2022-11-10 19:34:05.023000+00:00,False,2.9,0.0
2022-11-10 19:44:05.023000+00:00,False,2.9,0.0
2022-11-10 19:54:05.023000+00:00,False,2.8,0.0
2022-11-10 20:04:05.023000+00:00,False,2.8,0.0
2022-11-10 20:14:05.023000+00:00,False,2.9,0.0
2022-11-10 20:24:05.023000+00:00,False,2.8,0.0
2022-11-10 20:34:05.023000+00:00,False,2.8,0.0
2022-11-10 20:44:05.023000+00:00,False,2.8,0.0
2022-11-10 20:54:05.023000+00:00,False,2.7,0.0
2022-11-10 21:04:05.023000+00:00,False,2.8,0.0
2022-11-10 21:14:05.023000+00:00,False,2.6,0.0
2022-11-10 21:24:05.023000+00:00,False,2.8,0.0
2022-11-10 21:34:05.023000+00:00,False,2.7,0.0
2022-11-10 21:44:05.023000+00:00,False,2.7,0.0
2022-11-10 21:54:05.023000+00:00,False,2.8,0.0
2022-11-10 22:04:05.023000+00:00,False,2.8,0.0
2022-11-10 22:14:05.023000+00:00,False,2.6,0.0
2022-11-10 22:24:05.023000+00:00,False,2.6,0.0
2022-11-10 22:34:05.023000+00:00,False,2.7,0.0
2022-11-10 22:44:05.023000+00:00,False,2.7,0.0
2022-11-10 22:54:05.023000+00:00,False,2.6,0.0
2022-11-10 23:04:05.023000+00:00,False,2.6,0.0
2022-11-10 23:14:05.023000+00:00,False,2.7,0.0
2022-11-10 23:24:05.023000+00:00,False,2.5,0.0
2022-11-10 23:34:05.023000+00:00,False,2.6,0.0
2022-11-10 23:44:05.023000+00:00,False,2.5,0.0
2022-11-10 23:54:05.023000+00:00,False,2.1,0.0
2022-11-11 00:04:05.023000+00:00,False,2.4,0.0
2022-11-11 00:14:05.023000+00:00,False,2.1,0.0
2022-11-11 00:24:05.023000+00:00,False,2.0,0.0
2022-11-11 00:34:05.023000+00:00,False,1.8,0.0
2022-11-11 00:44:05.023000+00:00,False,2.0,0.0
2022-11-11 00:54:05.023000+00:00,False,2.0,0.0
2022-11-11 01:04:05.023000+00:00,False,2.0,0.0
2022-11-11 01:14:05.023000+00:00,False,2.0,0.0
2022-11-11 01:24:05.023000+00:00,False,1.6,0.0
2022-11-11 01:34:05.023000+00:00,False,2.0,0.0
2022-11-11 01:44:05.023000+00:00,False,2.0,0.0
2022-11-11 01:54:05.023000+00:00,False,1.7,0.0
2022-11-11 02:04:05.023000+00:00,False,1.7,0.0
2022-11-11 02:14:05.023000+00:00,False,1.7,0.0
2022-11-11 02:24:05.023000+00:00,False,1.3,0.0
2022-11-11 02:34:05.023000+00:00,False,1.6,0.0
2022-11-11 02:44:05.023000+00:00,False,2.0,0.0
2022-11-11 02:54:05.023000+00:00,False,1.8,0.0
2022-11-11 03:04:05.023000+00:00,False,1.7,0.0
2022-11-11 03:14:05.023000+00:00,False,1.2,0.0
2022-11-11 03:24:05.023000+00:00,False,1.8,0.0
2022-11-11 03:34:05.023000+00:00,False,1.8,0.0
2022-11-11 03:44:05.023000+00:00,False,1.6,0.0
2022-11-11 03:54:05.023000+00:00,False,1.4,0.0
2022-11-11 04:04:05.023000+00:00,False,1.2,0.0
2022-11-11 04:14:05.023000+00:00,False,1.5,0.0
2022-11-11 04:24:05.023000+00:00,False,1.5,0.0
2022-11-11 04:34:05.023000+00:00,False,1.5,0.0
2022-11-11 04:44:05.023000+00:00,False,1.4,0.0
2022-11-11 04:54:05.023000+00:00,False,1.2,0.0
2022-11-11 05:04:05.023000+00:00,False,1.3,0.0
2022-11-11 05:14:05.023000+00:00,False,1.3,0.0
2022-11-11 05:24:05.023000+00:00,False,1.4,0.0
2022-11-11 05:34:05.023000+00:00,False,1.3,0.0
2022-11-11 05:44:05.023000+00:00,False,1.2,0.0
2022-11-11 05:54:05.023000+00:00,False,0.5,0.0
2022-11-11 06:04:05.023000+00:00,False,1.2,0.0
2022-11-11 06:14:05.023000+00:00,False,0.1,0.0
2022-11-11 06:24:05.023000+00:00,False,1.2,0.0
2022-11-11 06:34:05.023000+00:00,False,0.2,0.0
