datetime,doy,valid,optimization_period,discharge_meas(L/min),temperature(C),precipitation(mm),rain_fall(mm),snow_fall(mm),snow_melt(mm),snow_cover(mm),pET(mm),aET(mm),storage_soil(mm),storage_gw(mm),runoff(mm),percolation_gw(mm),discharge_sim(mm)
2021-01-05 00:00:00+00:00,5,False,True,,-1.6159722222222221,0.4,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06 00:00:00+00:00,6,False,True,,-2.3312500000000003,2.9,0.0,2.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07 00:00:00+00:00,7,False,True,,-4.686111111111111,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08 00:00:00+00:00,8,False,True,,-4.194444444444444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09 00:00:00+00:00,9,False,True,,-5.2875000000000005,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10 00:00:00+00:00,10,False,True,,-6.740277777777777,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11 00:00:00+00:00,11,False,True,,-7.021527777777778,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12 00:00:00+00:00,12,False,True,,-2.8743055555555554,6.0,0.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13 00:00:00+00:00,13,False,True,,0.3173611111111111,12.6,7.9,4.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14 00:00:00+00:00,14,False,True,,0.29097222222222224,39.3,32.6,6.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15 00:00:00+00:00,15,False,True,,-0.7652777777777778,9.6,7.6,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16 00:00:00+00:00,16,False,True,,-4.627083333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17 00:00:00+00:00,17,False,True,,-2.4611111111111112,3.6,0.1,3.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18 00:00:00+00:00,18,False,True,,-0.38819444444444445,0.2,0.1,0.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19 00:00:00+00:00,19,False,True,,-1.4083333333333332,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20 00:00:00+00:00,20,False,True,,3.095833333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21 00:00:00+00:00,21,False,True,,5.785416666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22 00:00:00+00:00,22,False,True,,5.788194444444444,4.3,4.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23 00:00:00+00:00,23,False,True,,2.426388888888889,2.6,2.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24 00:00:00+00:00,24,False,True,,-0.36180555555555555,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25 00:00:00+00:00,25,False,True,,-1.398611111111111,4.2,0.7,3.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
